state_2018,birth_year,sex,race,party_id,ideo5_2019,newsint_2019,pew_religimp_2019,faminc_new_2019,educ_2019,ft_black_2017,ft_hisp_2017,ft_asian_2017,diff_inc_2019
Missouri,1972,Female,White,Independent,2,1,3,11,6,95,97,92,2
Ohio,1976,Female,Middle Eastern,Democrat,3,1,3,5,4,71,70,86,3
Georgia,1947,Male,White,Independent,2,1,4,13,6,70,70,71,1
Kentucky,1956,Male,White,Republican,4,1,1,NA,5,71,70,80,5
Florida,1990,Male,White,Democrat,1,1,4,11,5,88,92,91,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,100,99,NA
Minnesota,1966,Male,White,Other,4,2,1,8,5,78,90,NA,5
Indiana,1978,Male,White,Independent,4,1,1,10,5,50,50,50,5
Idaho,1964,Male,White,Republican,4,2,1,5,3,40,70,80,5
New Jersey,1977,Female,White,Democrat,1,1,3,12,5,97,93,91,2
New York,1970,Male,White,Democrat,2,1,1,9,4,81,100,91,2
NA,1969,Male,White,Democrat,2,1,3,15,6,50,51,51,2
North Carolina,1971,Male,White,Republican,4,1,4,8,4,50,50,25,5
Texas,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,50,96,NA
Pennsylvania,1950,Male,White,Other,1,1,4,NA,6,75,85,87,1
Pennsylvania,1963,Male,White,Republican,5,1,1,4,3,100,31,100,5
Colorado,1972,Female,White,Independent,2,2,4,NA,5,52,49,70,3
New Jersey,1976,Male,White,Democrat,3,1,2,13,5,51,50,50,4
Illinois,1937,Female,White,Democrat,2,1,4,2,5,63,60,63,2
Illinois,1981,Male,White,Independent,1,1,2,NA,6,100,100,100,1
Nebraska,1954,Male,White,Republican,3,1,4,9,6,8,3,41,3
NA,1967,Male,White,Democrat,2,2,4,11,5,77,81,85,2
Ohio,1956,Male,White,Democrat,2,1,2,9,6,50,50,50,1
Pennsylvania,1957,Female,White,Democrat,2,1,2,NA,6,78,78,86,3
New York,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,27,78,NA
NA,1969,Male,White,Democrat,2,1,4,15,3,100,100,100,2
Arizona,1970,Male,White,Democrat,2,1,4,10,5,78,79,83,1
Not Asked,1957,Male,Hispanic,Democrat,2,1,4,2,4,67,99,84,1
Texas,1981,Male,White,Independent,3,1,1,8,3,80,91,95,5
Kansas,1964,Female,White,Democrat,3,1,4,12,5,53,51,51,1
Not Asked,1971,Male,Other,Independent,3,1,1,13,5,52,58,77,1
Michigan,1961,Female,White,Republican,3,1,3,14,4,99,95,95,5
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,90,90,NA
Not Asked,1970,Male,Asian,Independent,3,2,3,NA,6,81,70,90,2
Pennsylvania,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,64,53,NA
California,NA,NA,NA,NA,NA,NA,NA,NA,NA,99,80,80,NA
Texas,1971,Female,White,Independent,3,1,3,NA,6,91,91,44,2
NA,1972,Male,White,Independent,4,2,4,11,6,89,88,90,2
Illinois,1956,Female,White,Democrat,2,1,4,15,6,99,99,99,2
California,1931,Female,White,Republican,4,1,1,4,2,85,95,90,5
Wisconsin,1932,Female,White,Democrat,3,1,3,3,2,80,80,80,3
Illinois,1957,Male,Hispanic,Democrat,3,1,4,12,5,70,94,95,1
Massachusetts,1955,Male,White,Independent,3,1,4,9,2,51,80,80,4
NA,1981,Male,White,Republican,4,1,1,12,6,53,53,54,5
NA,1948,Female,White,Democrat,2,1,4,6,6,99,98,100,2
Illinois,1954,Male,White,Democrat,1,1,4,NA,2,99,100,100,3
South Dakota,1961,Male,White,Democrat,2,1,3,6,2,80,80,81,3
Connecticut,1956,Male,White,Independent,3,1,1,9,5,50,55,50,5
Michigan,1954,Female,White,Independent,4,1,1,9,6,50,75,65,5
Oklahoma,1962,Male,White,Republican,5,1,1,11,3,94,94,94,5
NA,1957,Male,White,Independent,3,1,1,16,6,78,60,82,5
Texas,1953,Male,White,Independent,5,1,2,9,5,50,51,61,5
Iowa,1963,Male,White,Democrat,2,1,2,10,5,66,66,76,1
New York,1958,Male,White,Republican,4,1,2,8,3,72,24,25,5
North Carolina,1957,Male,White,Republican,4,1,1,11,5,90,90,90,5
NA,1969,Male,White,Republican,5,1,1,5,5,51,52,50,5
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76,55,52,NA
Maryland,1939,Female,White,Republican,5,1,1,7,3,80,80,96,5
New Jersey,1950,Male,White,Republican,4,1,3,NA,6,52,52,51,5
Washington,1943,Male,White,Democrat,3,1,4,11,5,50,55,91,3
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,29,100,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,91,96,NA
Mississippi,1954,Female,White,Independent,3,2,4,4,3,75,74,79,4
Michigan,1957,Female,White,Independent,3,2,2,4,4,94,96,95,5
New Jersey,1957,Female,White,Independent,4,1,2,11,6,100,100,100,5
Massachusetts,1969,Male,White,Independent,3,2,4,4,2,50,51,50,5
New Jersey,1968,Female,White,Independent,3,2,4,11,6,54,62,76,5
Texas,1969,Male,White,Independent,3,1,2,NA,5,50,50,50,3
Idaho,1974,Male,White,Independent,2,1,2,4,5,68,69,71,1
Texas,1940,Male,White,Independent,3,2,4,4,2,100,100,99,5
Florida,1974,Male,White,Independent,5,1,2,1,5,0,6,50,5
NA,1966,Male,White,Independent,3,1,3,11,3,80,80,80,5
Ohio,1952,Female,White,Republican,5,1,1,NA,3,80,80,80,5
Illinois,1949,Male,Black,Republican,5,1,2,5,4,50,50,60,5
Oklahoma,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,80,80,NA
New York,1946,Female,White,Republican,4,1,1,7,2,50,50,51,5
Pennsylvania,1937,Male,White,Republican,4,1,1,9,6,76,75,99,5
NA,1976,Male,White,Independent,4,1,4,NA,3,6,100,100,5
California,1971,Female,White,Independent,3,1,1,13,6,28,36,60,3
Minnesota,1962,Male,White,Republican,4,1,1,13,2,60,75,75,5
NA,1961,Male,White,Independent,4,1,1,NA,5,50,80,81,5
Wisconsin,1964,Male,White,Independent,3,1,2,8,3,80,71,80,5
Texas,1959,Male,Black,Democrat,2,1,4,10,3,100,85,82,3
New York,1954,Female,White,Independent,3,2,2,NA,4,76,49,50,5
Michigan,NA,NA,NA,NA,NA,NA,NA,NA,NA,72,69,69,NA
Kentucky,1960,Male,White,Republican,4,NA,1,11,6,87,87,88,5
New York,1964,Male,White,Independent,1,1,4,12,6,50,50,50,2
Indiana,1955,Male,Native American,Independent,3,1,2,7,5,50,50,50,5
NA,1965,Male,White,Democrat,2,1,1,14,6,89,89,89,3
California,1939,Female,White,Republican,4,1,1,7,2,76,81,76,4
California,1957,Female,White,Republican,3,2,2,12,5,50,44,44,5
Montana,1955,Male,White,Republican,4,1,4,6,5,72,16,81,5
Pennsylvania,1962,Male,White,Independent,4,1,2,11,5,41,50,50,5
Michigan,1956,Male,White,Independent,2,1,3,9,5,91,91,100,2
Kentucky,1953,Male,White,Republican,4,1,1,7,2,70,50,80,5
Not Asked,1973,Male,White,Republican,4,1,1,7,6,66,56,71,4
Connecticut,1931,Female,White,Independent,3,1,1,NA,2,100,93,100,NA
New Hampshire,1950,Male,White,Republican,4,1,3,11,6,52,64,77,5
California,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,75,84,NA
Montana,1957,Male,White,Independent,4,1,2,NA,5,75,57,78,3
Wisconsin,1970,Male,White,Republican,4,1,4,9,3,37,61,72,5
California,1934,Male,White,Democrat,1,1,2,8,3,97,52,80,2
Kentucky,1937,Female,White,Democrat,2,1,1,4,2,53,66,50,2
Tennessee,1952,Male,White,Republican,4,1,1,10,6,85,91,91,5
New York,1966,Male,White,Other,5,1,1,9,3,50,50,50,5
Not Asked,1970,Male,Hispanic,Independent,2,1,3,NA,5,51,50,50,1
New Mexico,1961,Male,White,Republican,4,1,2,8,6,51,50,50,5
Illinois,1939,Male,White,Independent,3,2,3,11,2,95,95,96,4
Massachusetts,1974,Female,White,Independent,3,2,3,8,5,76,77,74,5
Louisiana,1958,Male,White,Republican,4,1,4,NA,6,88,91,96,4
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47,66,55,NA
Missouri,NA,NA,NA,NA,NA,NA,NA,NA,NA,92,90,94,NA
California,1962,Female,White,Other,3,1,3,14,5,75,100,100,5
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,98,NA
New York,1955,Male,Black,Independent,2,1,4,10,5,90,100,100,5
Michigan,1947,Male,White,Republican,5,1,1,4,3,71,79,91,5
New York,1955,Male,Hispanic,Republican,4,1,2,12,6,71,100,94,3
Illinois,1974,Female,White,Democrat,2,1,4,8,6,100,100,100,2
New Jersey,1966,Male,Mixed,Democrat,3,1,1,9,5,90,90,89,5
Arizona,1949,Female,Hispanic,Republican,4,1,1,NA,5,71,77,74,4
New York,1955,Male,White,Other,4,1,3,4,2,94,79,83,5
Not Asked,1947,Male,White,Republican,5,1,3,5,5,76,78,53,4
Mississippi,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,50,51,NA
NA,1954,Male,White,Independent,3,1,4,12,5,50,51,50,3
Washington,1957,Male,White,Republican,4,1,2,11,5,50,50,50,5
New Jersey,1953,Male,White,Republican,4,1,2,3,2,29,20,10,5
Texas,1967,Male,White,Republican,5,1,1,9,5,77,80,51,5
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88,88,96,NA
Ohio,NA,NA,NA,NA,NA,NA,NA,NA,NA,53,79,100,NA
New York,1971,Male,Asian,Democrat,1,1,4,NA,6,60,65,99,1
Connecticut,1976,Male,White,Democrat,3,2,4,6,5,99,81,76,1
Missouri,1963,Male,White,Republican,5,2,2,10,5,75,75,75,5
Michigan,1964,Male,White,Independent,4,3,3,3,4,100,100,100,5
Mississippi,1955,Female,White,Democrat,2,1,4,9,3,100,100,100,2
Tennessee,1932,Female,White,Republican,5,1,1,9,3,98,95,82,5
Kansas,1971,Male,White,Democrat,3,1,4,11,5,70,70,70,5
Mississippi,1953,Male,White,Republican,5,1,1,7,3,90,91,91,5
Illinois,1955,Female,White,Independent,3,1,1,11,6,66,82,60,3
Michigan,1954,Female,White,Independent,4,1,2,12,6,78,27,25,5
New York,1956,Male,White,Republican,3,1,3,10,5,55,69,59,5
Ohio,1971,Male,White,Republican,4,1,4,10,5,66,52,91,5
New York,1967,Male,White,Republican,3,1,3,11,1,76,75,100,5
Ohio,1969,Male,White,Democrat,2,1,4,NA,6,50,50,50,2
Maryland,1986,Male,White,Republican,4,1,2,9,5,50,50,50,5
Florida,1974,Male,White,Republican,5,1,1,11,6,50,50,50,5
California,1946,Male,White,Independent,1,1,2,5,6,95,95,95,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91,75,75,NA
Utah,1961,Male,White,Independent,3,1,1,3,3,99,97,100,3
NA,1960,Female,White,Republican,5,2,1,NA,5,77,84,81,5
California,1944,Female,White,Independent,4,1,1,3,3,72,62,79,5
Idaho,1966,Male,White,Republican,5,1,1,8,5,87,85,81,5
NA,1963,Male,Mixed,Independent,4,2,1,11,4,58,94,90,5
Michigan,1966,Female,White,Democrat,1,1,4,9,6,88,78,80,2
Texas,1955,Female,White,Democrat,3,1,3,7,5,90,100,95,3
Rhode Island,NA,NA,NA,NA,NA,NA,NA,NA,NA,51,51,80,NA
New York,1942,Male,White,Republican,5,1,2,NA,2,50,52,79,5
Pennsylvania,1965,Male,White,Republican,3,1,1,2,5,70,75,76,3
New York,1960,Female,White,Independent,4,1,1,8,6,100,100,100,4
Utah,1955,Male,White,Republican,4,1,1,6,5,90,80,90,5
Kentucky,1946,Male,Black,Independent,4,1,1,8,6,91,91,99,5
Florida,1974,Female,White,Independent,3,3,2,9,5,99,95,97,5
New York,1953,Female,White,Independent,5,1,1,8,5,81,84,87,5
Illinois,1981,Male,White,Democrat,2,1,4,12,6,100,100,99,1
NA,1955,Female,White,Republican,5,1,3,5,2,71,69,72,5
Illinois,1951,Female,White,Republican,3,1,2,11,5,60,81,76,4
California,1951,Male,White,Independent,4,1,1,12,3,55,55,53,5
Minnesota,1968,Male,Asian,Independent,3,1,3,12,5,100,100,81,1
California,1958,Male,White,Democrat,3,1,2,7,5,50,50,50,4
Michigan,1967,Female,White,Democrat,1,1,4,12,6,51,51,51,1
Arizona,1952,Female,Hispanic,Republican,5,1,1,7,2,100,100,100,5
Nebraska,1954,Male,White,Independent,4,2,2,7,1,50,61,77,5
NA,1930,Male,White,Republican,4,1,2,12,6,71,73,92,5
New Jersey,1953,Female,White,Republican,4,1,1,16,2,75,50,50,5
Not Asked,1957,Male,White,Republican,4,1,1,11,3,50,50,50,5
Pennsylvania,1956,Male,White,Independent,3,1,4,6,3,65,56,73,4
Ohio,1950,Male,Other,Independent,5,1,4,4,5,2,2,55,5
NA,1972,Male,White,Democrat,3,1,2,11,6,85,86,90,4
South Carolina,1974,Male,Black,Independent,3,3,4,11,4,51,72,79,3
West Virginia,1963,Male,White,Independent,4,1,1,10,6,1,5,53,5
NA,1944,Female,White,Republican,4,1,2,12,5,99,99,99,4
Massachusetts,1932,Female,White,Independent,3,1,1,6,3,100,100,100,5
New York,1956,Male,Other,Independent,4,1,1,10,6,50,50,50,5
New Jersey,1946,Male,White,Democrat,2,1,2,10,6,96,91,95,1
NA,1946,Male,White,Democrat,2,1,4,12,6,72,81,80,2
California,1966,Female,White,Republican,4,2,2,11,3,51,37,22,5
Massachusetts,1938,Male,White,Republican,4,1,2,NA,5,50,50,96,5
New York,1958,Male,White,Republican,5,1,1,11,6,95,100,100,5
Michigan,1951,Male,White,Democrat,1,1,4,2,5,80,90,95,2
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,60,70,NA
Massachusetts,1948,Male,White,Independent,4,1,2,12,6,69,70,81,5
North Carolina,1944,Male,White,Democrat,3,1,4,10,5,75,75,80,5
NA,1975,Male,White,Independent,5,2,1,NA,6,51,51,51,5
Illinois,1946,Male,White,Republican,5,1,1,7,4,80,76,96,5
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78,78,78,NA
Texas,NA,NA,NA,NA,NA,NA,NA,NA,NA,96,96,96,NA
Maryland,1956,Female,Mixed,Independent,NA,1,1,5,6,72,59,99,3
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49,66,92,NA
Pennsylvania,1953,Female,White,Republican,5,1,1,7,5,48,NA,100,5
Georgia,1969,Male,White,Republican,5,1,1,9,3,80,75,89,5
Illinois,1970,Male,White,Republican,4,1,3,4,5,77,40,96,5
Iowa,1940,Male,White,Independent,5,1,4,3,1,20,9,1,5
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66,76,76,NA
Rhode Island,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,100,100,NA
Ohio,1989,Male,White,Republican,5,1,1,NA,6,51,51,52,5
Wisconsin,1968,Male,White,Republican,4,1,4,5,6,50,50,50,5
Virginia,1951,Female,White,Independent,3,1,1,12,5,76,81,76,4
Florida,1955,Male,White,Independent,3,1,3,5,5,88,NA,94,5
NA,1940,Male,White,Independent,4,1,1,3,2,60,80,100,5
Maine,1944,Female,White,Democrat,2,1,4,10,6,33,45,25,3
NA,1948,Male,White,Democrat,2,1,4,9,6,62,77,83,2
Vermont,1949,Female,White,Independent,3,1,1,NA,5,43,22,41,5
Arizona,1963,Male,Mixed,Independent,5,1,1,NA,6,32,42,55,5
Nevada,1953,Female,Hispanic,Independent,3,2,2,7,3,80,100,29,2
Illinois,1946,Male,White,Republican,5,1,1,NA,2,80,80,80,5
New York,1963,Male,White,Republican,4,1,2,NA,4,51,50,73,5
Connecticut,1964,Female,White,Independent,4,1,3,3,2,51,52,34,5
Pennsylvania,1950,Male,White,Independent,3,2,1,1,2,99,99,99,1
Indiana,1950,Male,White,Independent,3,1,3,5,5,50,50,50,5
Wisconsin,1957,Female,White,Independent,4,1,1,NA,5,51,51,50,5
Texas,1953,Male,White,Democrat,2,1,4,8,4,60,69,72,4
NA,1953,Female,White,Republican,4,1,3,14,6,51,70,80,5
Illinois,1956,Male,White,Republican,5,1,2,9,6,51,61,91,5
Ohio,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,77,92,NA
NA,1949,Male,White,Republican,4,1,2,12,6,80,76,82,5
NA,1950,Female,White,Democrat,3,1,1,NA,2,88,77,74,2
Indiana,1951,Male,Black,Other,4,2,1,3,2,100,90,89,5
New York,NA,NA,NA,NA,NA,NA,NA,NA,NA,95,96,94,NA
New York,1931,Male,White,Independent,2,1,3,2,2,75,71,53,3
Washington,1950,Female,White,Democrat,3,1,4,8,4,73,86,82,2
Georgia,1961,Male,White,Independent,4,1,2,NA,3,90,90,90,5
New York,1950,Male,White,Independent,2,1,1,5,5,100,100,100,1
NA,1954,Female,White,Other,5,1,1,10,6,100,100,100,5
Florida,1951,Male,White,Republican,5,1,3,11,3,10,55,50,5
Pennsylvania,1985,Male,White,Republican,4,1,2,4,6,50,50,50,5
Not Asked,1967,Male,White,Republican,5,1,1,NA,6,72,71,74,5
NA,1955,Male,White,Independent,4,1,1,7,6,79,80,80,1
Minnesota,1952,Female,White,Republican,4,1,1,6,3,77,97,51,5
Pennsylvania,1957,Male,Mixed,Independent,3,1,1,10,5,50,50,50,5
Pennsylvania,1953,Male,White,Republican,4,1,2,11,5,66,65,49,5
NA,1939,Male,White,Democrat,3,2,2,NA,2,73,75,75,3
NA,1950,Female,White,Independent,4,2,1,3,3,60,16,50,5
NA,1965,Female,White,Republican,4,2,1,NA,2,90,80,90,5
Rhode Island,1969,Female,White,Democrat,NA,2,4,9,4,93,97,90,3
Arizona,NA,NA,NA,NA,NA,NA,NA,NA,NA,95,95,95,NA
NA,1945,Female,White,Independent,1,1,4,8,6,98,97,99,2
North Carolina,1946,Female,White,Democrat,4,2,1,5,2,85,72,81,5
Maine,1930,Male,White,Democrat,3,2,2,3,2,90,80,90,4
Texas,1941,Male,White,Republican,5,1,1,3,3,80,26,56,5
California,1985,Female,White,Republican,3,1,3,2,5,50,54,50,5
NA,1946,Male,White,Independent,3,2,2,5,5,79,79,81,5
Rhode Island,1954,Female,White,Other,3,1,4,16,5,80,78,81,2
Michigan,1958,Male,White,Independent,3,1,2,14,5,79,80,84,4
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,30,50,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,75,75,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77,76,83,NA
Iowa,1954,Female,White,Independent,3,3,2,3,2,81,40,55,5
