birth_year,sex,race,party_id,crime,economy,immigration,family_medical_leave,abortion,gay_rights,health_care
1958,Male,White,Democrat,4,4,3,4,1,3,4
1950,Male,White,Democrat,4,3,4,4,1,3,NA
1963,Female,White,Republican,4,4,4,4,4,4,4
1972,Male,White,Independent,4,4,4,4,1,4,4
1940,Male,White,Democrat,3,4,4,4,4,3,4
1958,Male,White,Democrat,3,4,2,4,4,2,4
1961,Female,Black,Independent,3,3,3,4,3,3,4
1979,Male,White,Democrat,2,3,2,4,3,2,4
1955,Female,White,Independent,3,4,3,2,3,3,4
1972,Male,White,Republican,4,4,4,2,4,4,4
1970,Male,White,Independent,2,3,4,2,4,3,4
1940,Male,Hispanic,Other,4,4,4,1,2,4,3
1950,Male,White,Democrat,3,3,3,3,3,3,4
1941,Female,White,Independent,4,4,3,3,3,4,4
1952,Male,Black,Independent,4,4,3,4,2,4,4
1952,Male,White,Independent,2,3,4,4,4,2,4
1974,Female,White,Independent,3,3,3,3,3,3,4
1955,Male,White,Independent,4,4,4,1,1,4,2
1948,Male,White,Independent,4,3,4,1,2,4,3
1954,Female,White,Republican,3,4,3,4,4,2,4
1954,Male,White,Independent,3,4,2,2,3,3,3
1950,Female,White,Independent,3,3,4,2,4,3,2
1950,Male,White,Democrat,3,4,3,4,4,3,4
1941,Male,White,Republican,4,4,4,2,3,4,3
1940,Male,White,Democrat,4,4,3,3,3,4,4
1961,Male,Asian,Independent,2,3,2,2,1,2,3
1967,Female,White,Republican,4,4,4,2,4,4,3
1957,Male,White,Republican,4,4,4,3,3,4,4
1980,Female,Black,Other,2,3,4,4,4,1,4
1961,Female,White,Democrat,4,4,3,4,3,4,4
1965,Female,Hispanic,Republican,4,4,2,1,3,4,2
1969,Female,White,Democrat,3,3,2,4,1,3,4
1958,Male,White,Independent,3,4,4,2,4,3,2
1936,Female,White,Democrat,3,4,3,4,3,3,4
1954,Female,White,Independent,3,4,2,3,3,3,4
1969,Female,White,Independent,3,3,2,3,3,3,4
1952,Male,Mixed,Independent,3,3,1,4,1,2,4
1956,Female,White,Democrat,3,3,3,3,2,2,4
1955,Male,White,Democrat,4,4,4,4,3,4,4
1955,Male,Other,Independent,2,3,3,2,3,2,3
1986,Male,White,Independent,3,3,3,4,4,2,4
1952,Female,White,Democrat,3,3,2,3,3,3,4
1959,Male,White,Democrat,3,3,3,4,NA,3,4
1953,Female,White,Republican,4,4,4,1,4,4,3
1970,Male,White,Independent,2,3,3,3,2,2,4
1946,Female,White,Democrat,4,4,4,4,4,4,4
1956,Female,White,Democrat,3,3,1,3,4,2,4
1965,Female,White,Republican,4,4,4,2,4,4,2
1980,Male,White,Independent,3,4,4,4,2,4,4
1954,Female,White,Independent,3,4,4,2,3,4,4
1985,Male,White,Independent,4,4,3,3,2,4,3
1983,Female,White,Independent,4,4,3,3,4,3,4
1972,Male,Hispanic,Independent,2,3,3,3,1,2,4
1970,Male,Other,Other,3,4,1,3,3,1,4
1970,Female,Black,Democrat,1,4,1,4,1,1,4
1959,Male,White,Republican,4,4,4,2,2,4,3
1954,Male,Mixed,Republican,4,4,4,2,3,4,3
1960,Male,White,Democrat,3,3,2,3,3,3,4
1982,Male,Hispanic,Other,4,3,3,2,3,4,2
1972,Male,White,Independent,3,4,2,3,1,3,4
1935,Male,White,Republican,4,3,4,2,4,4,3
1949,Male,White,Democrat,3,3,3,3,1,3,4
1952,Female,White,Democrat,3,4,3,3,4,2,4
1968,Male,White,Independent,4,4,4,3,4,4,3
1956,Male,White,Democrat,3,3,3,3,2,3,3
1959,Male,White,Republican,4,4,4,3,3,4,3
1969,Male,White,Independent,4,4,4,4,4,4,4
1970,Male,White,Democrat,3,4,3,4,2,3,4
1962,Male,White,Republican,4,4,4,2,1,4,3
1968,Male,White,Independent,4,3,3,3,3,3,4
1956,Male,White,Democrat,3,4,3,4,3,2,4
1945,Male,White,Independent,4,4,4,3,4,4,3
1965,Male,White,Democrat,4,4,4,4,3,2,4
1949,Male,White,Democrat,3,3,3,3,3,3,3
1965,Male,White,Republican,3,4,3,1,2,3,3
1957,Female,White,Independent,3,4,3,2,2,4,4
1955,Female,White,Democrat,4,4,4,4,4,4,4
1951,Female,White,Independent,4,4,3,3,3,3,3
1940,Female,White,Independent,4,3,4,4,4,3,4
1981,Male,White,Republican,4,4,4,4,4,4,4
1962,Female,Other,Democrat,4,4,4,4,4,4,4
1954,Female,Hispanic,Independent,3,3,4,3,2,4,4
1966,Male,White,Other,3,4,3,1,4,3,2
1963,Male,White,Independent,4,4,4,3,3,4,4
1962,Male,White,Independent,3,4,4,4,4,3,4
1979,Male,White,Independent,3,4,3,2,3,3,3
1962,Male,White,Republican,4,4,4,2,3,4,4
1955,Female,White,Independent,4,4,4,3,2,4,4
1952,Male,White,Republican,4,4,4,3,2,4,3
1972,Female,White,Independent,3,4,2,4,4,3,4
1967,Male,White,Independent,4,4,4,4,2,4,2
1976,Female,Middle Eastern,Democrat,3,3,3,3,4,2,4
1947,Male,White,Independent,2,3,3,3,1,2,4
1956,Male,White,Republican,4,4,4,3,3,4,4
1990,Male,White,Democrat,3,2,4,3,3,2,4
1966,Male,White,Other,4,4,4,2,4,4,3
1978,Male,White,Independent,3,4,3,2,4,2,3
1964,Male,White,Republican,3,3,4,3,4,4,3
1977,Female,White,Democrat,3,3,3,4,4,3,4
1970,Male,White,Democrat,2,4,2,2,1,2,4
1969,Male,White,Democrat,2,3,3,2,2,2,4
1971,Male,White,Republican,4,3,4,3,1,4,2
1965,Male,White,Democrat,3,4,3,3,1,2,4
1938,Male,White,Republican,4,4,3,3,4,4,4
1950,Male,White,Other,3,3,2,1,1,3,4
1950,Female,Black,Democrat,4,4,3,4,3,3,4
1963,Male,White,Republican,4,4,4,3,4,4,2
1972,Female,White,Independent,3,4,3,3,4,2,3
1976,Male,White,Democrat,3,4,2,2,3,2,3
1937,Female,White,Democrat,3,3,4,3,4,3,4
1981,Male,White,Independent,2,3,4,3,2,2,4
1952,Male,Black,Independent,3,4,2,2,2,2,4
1954,Male,White,Republican,NA,NA,4,1,NA,4,NA
1967,Male,White,Democrat,3,3,2,4,1,3,4
1956,Male,White,Democrat,3,4,2,4,4,2,4
1957,Female,White,Democrat,3,4,3,4,2,3,4
1969,Male,White,Democrat,3,4,4,4,3,2,4
1970,Male,White,Democrat,3,4,2,3,3,3,4
1957,Male,Hispanic,Democrat,3,4,4,4,3,2,4
1959,Male,White,Democrat,3,3,4,4,3,3,4
1981,Male,White,Independent,4,4,4,2,4,4,4
1964,Female,White,Democrat,3,4,3,4,3,3,4
1971,Male,Other,Independent,3,4,4,4,3,3,4
1961,Female,White,Republican,3,4,4,2,2,4,3
1970,Male,Asian,Independent,4,4,4,3,2,4,3
1963,Male,White,Republican,3,4,4,1,3,3,4
1971,Female,White,Independent,3,3,2,3,3,2,4
1972,Male,White,Independent,3,3,3,2,3,3,3
1956,Female,White,Democrat,2,3,2,3,3,2,3
1931,Female,White,Republican,4,4,4,4,4,4,4
1932,Female,White,Democrat,3,4,3,3,3,3,4
1957,Male,Hispanic,Democrat,3,3,4,4,3,3,4
1955,Male,White,Independent,3,4,3,4,2,3,4
1981,Male,White,Republican,3,4,3,2,4,4,2
1948,Female,White,Democrat,2,4,4,3,4,2,4
1954,Male,White,Democrat,4,4,3,4,2,3,4
1961,Male,White,Democrat,3,3,3,3,4,4,4
1956,Male,White,Independent,3,3,3,4,4,3,3
1954,Female,White,Independent,4,4,4,3,4,4,4
1962,Male,White,Republican,4,4,4,2,4,4,4
1957,Male,White,Independent,4,3,4,2,4,4,3
1955,Male,White,Republican,4,4,4,3,3,4,4
1953,Male,White,Independent,4,4,4,2,4,4,3
1963,Male,White,Democrat,4,4,2,4,1,3,4
1958,Male,White,Republican,4,4,4,2,3,4,3
1957,Male,White,Republican,4,3,4,3,4,4,3
1969,Male,White,Republican,4,4,4,2,4,4,4
1939,Female,White,Republican,4,4,4,2,4,4,2
1961,Male,White,Democrat,3,4,3,4,1,2,4
1950,Male,White,Republican,3,4,4,1,1,4,4
1943,Male,White,Democrat,4,4,3,3,4,4,4
1954,Female,White,Independent,4,3,3,4,3,3,4
1957,Female,White,Independent,3,3,3,2,2,2,3
1957,Female,White,Independent,4,4,4,3,3,4,3
1969,Male,White,Independent,1,4,4,1,1,3,3
1965,Male,White,Republican,4,4,4,1,4,4,3
1965,Female,White,Republican,3,4,3,2,4,4,4
1968,Female,White,Independent,4,4,2,2,3,4,3
1966,Female,White,Democrat,4,4,3,4,4,3,4
1969,Male,White,Independent,4,4,3,3,2,3,4
1974,Male,White,Independent,3,3,3,3,3,2,3
1940,Male,White,Independent,3,3,3,3,3,4,3
1955,Male,White,Independent,3,4,3,3,2,4,3
1974,Male,White,Independent,3,4,4,1,4,1,3
1966,Male,White,Independent,4,4,4,3,4,4,4
1959,Female,White,Independent,3,4,4,2,3,3,2
1952,Female,White,Republican,4,4,4,3,4,4,4
1949,Male,Black,Republican,4,4,4,2,4,4,4
1946,Female,White,Republican,4,4,4,4,4,4,4
1937,Male,White,Republican,3,4,4,2,4,4,3
1976,Male,White,Independent,4,4,4,1,1,4,4
1971,Female,White,Independent,4,4,4,1,3,3,3
1962,Male,White,Republican,4,4,4,3,4,4,4
1963,Male,White,Other,3,4,4,2,2,4,4
1939,Female,White,Democrat,2,3,3,3,4,2,4
1961,Male,White,Independent,4,4,4,3,4,4,2
1964,Male,White,Democrat,3,3,2,3,3,3,4
1964,Male,White,Independent,4,4,4,3,3,4,2
1959,Male,Black,Democrat,4,4,3,4,4,3,4
1954,Female,White,Independent,3,4,4,2,3,3,3
1960,Male,White,Republican,4,4,3,2,4,3,3
1954,Male,White,Republican,4,NA,4,2,NA,4,4
1964,Male,White,Independent,3,4,2,2,2,3,4
1955,Male,Native American,Independent,3,4,2,3,3,3,3
1965,Male,White,Democrat,3,3,3,4,2,2,4
1939,Female,White,Republican,4,4,3,2,3,4,4
1957,Female,White,Republican,3,3,4,3,2,4,4
1955,Male,White,Republican,4,4,4,2,4,4,4
1962,Male,White,Independent,3,4,4,2,3,3,2
1956,Male,White,Independent,3,3,3,4,3,3,4
1953,Male,White,Republican,4,4,2,3,3,4,3
1973,Male,White,Republican,3,4,3,2,2,3,2
1931,Female,White,Independent,4,4,4,4,4,2,4
1950,Male,White,Republican,3,4,4,2,3,4,3
1954,Female,Hispanic,Democrat,3,3,2,4,4,2,4
1957,Male,White,Independent,3,3,4,3,3,3,3
1970,Male,White,Republican,4,4,4,3,1,4,3
1934,Male,White,Democrat,3,3,2,2,2,2,4
1937,Female,White,Democrat,3,4,3,2,3,3,4
1952,Male,White,Republican,4,3,4,2,2,4,3
1966,Male,White,Other,3,3,3,1,4,3,3
1970,Male,Hispanic,Independent,4,4,2,4,3,3,4
1961,Male,White,Republican,4,4,4,2,2,4,4
1939,Male,White,Independent,4,4,3,2,3,2,3
1974,Female,White,Independent,3,4,4,2,2,3,3
1958,Male,White,Republican,3,3,4,2,2,3,3
1962,Female,White,Other,4,4,4,2,2,4,2
1965,Male,Hispanic,Republican,3,4,3,3,3,4,3
1955,Male,Black,Independent,4,4,3,4,2,3,4
1953,Male,Hispanic,Republican,3,4,4,2,4,4,4
1947,Male,White,Republican,3,3,3,2,4,3,3
1983,Female,White,Democrat,3,4,3,3,2,3,4
1955,Male,Hispanic,Republican,4,4,4,3,2,4,4
1974,Female,White,Democrat,2,3,2,3,4,1,4
1966,Male,Mixed,Democrat,4,4,4,4,4,4,4
1949,Female,Hispanic,Republican,4,4,3,3,3,4,4
1955,Male,White,Other,4,4,3,2,3,4,4
1947,Male,White,Republican,NA,4,4,2,2,3,3
1954,Male,White,Independent,2,4,3,4,4,3,4
1968,Male,White,Republican,4,4,4,3,4,3,3
1957,Male,White,Republican,4,4,4,1,4,4,3
1953,Male,White,Republican,3,4,4,1,3,4,4
1949,Male,White,Republican,4,4,4,3,4,4,4
1967,Male,White,Republican,4,4,4,3,4,4,3
1948,Female,White,Independent,3,4,3,3,3,4,4
1971,Male,Asian,Democrat,3,4,3,4,2,2,4
1976,Male,White,Democrat,2,3,1,2,3,1,4
1963,Male,White,Republican,3,3,4,3,3,4,3
1964,Male,White,Independent,3,3,4,3,3,4,3
1955,Female,White,Democrat,2,3,3,4,4,2,4
1945,Male,White,Other,4,4,4,3,4,4,4
1932,Female,White,Republican,4,3,4,3,4,4,4
1971,Male,White,Democrat,3,3,3,3,4,2,4
1953,Male,White,Republican,4,4,4,3,4,4,4
1955,Female,White,Independent,3,3,3,3,3,3,4
1954,Female,White,Independent,4,4,4,1,4,4,4
1968,Female,White,Independent,3,4,2,4,4,2,4
1956,Male,White,Republican,3,4,3,2,3,3,3
1971,Male,White,Republican,4,4,4,4,2,4,4
1967,Male,White,Republican,4,4,4,4,3,4,3
1969,Male,White,Democrat,3,3,2,2,4,2,4
1986,Male,White,Republican,3,4,3,2,4,4,4
1964,Male,White,Independent,3,3,3,3,2,4,3
1974,Male,White,Republican,4,4,4,2,4,4,3
1973,Male,White,Democrat,1,3,4,4,4,1,4
1946,Male,White,Independent,2,4,4,3,3,2,4
1959,Female,Asian,Independent,4,4,4,3,2,4,4
1961,Male,White,Independent,4,4,3,4,3,3,4
1960,Female,White,Republican,4,4,4,3,4,4,4
1959,Female,White,Republican,4,4,4,3,1,4,4
1944,Female,White,Independent,4,3,4,NA,3,4,3
1966,Male,White,Republican,4,4,3,2,3,3,2
1963,Male,Mixed,Independent,2,4,4,3,3,3,3
1964,Male,White,Republican,4,4,4,2,3,4,3
1966,Female,White,Democrat,3,4,3,4,4,2,4
1955,Female,White,Democrat,4,4,3,2,3,4,4
1942,Male,White,Republican,4,4,4,3,4,4,4
1974,Female,Hispanic,Republican,4,4,4,2,2,4,3
1965,Male,White,Republican,4,4,4,4,2,4,4
1960,Female,White,Independent,3,4,4,3,2,4,3
1965,Male,White,Independent,4,4,4,4,3,4,4
1955,Male,White,Republican,4,4,4,2,4,4,3
1946,Male,Black,Independent,4,4,4,2,3,4,3
1974,Female,White,Independent,4,4,3,2,3,4,3
1949,Female,White,Independent,3,4,4,3,4,2,4
1950,Female,White,Republican,4,4,4,2,3,4,3
1974,Male,White,Democrat,3,3,1,3,2,2,4
1953,Female,White,Independent,4,4,3,2,4,4,4
1981,Male,White,Democrat,2,4,4,3,4,2,4
1955,Female,White,Republican,4,4,4,3,3,4,4
1951,Female,White,Republican,4,4,4,1,4,4,4
1951,Male,White,Independent,3,4,4,3,4,4,4
1968,Male,Asian,Independent,3,4,3,4,3,3,4
1958,Male,White,Democrat,3,4,2,2,2,4,4
1957,Female,White,Independent,4,4,4,3,4,4,4
1967,Female,White,Democrat,3,3,2,4,4,3,4
1957,Female,White,Republican,4,4,4,2,2,3,4
1952,Female,Hispanic,Republican,4,4,4,3,4,4,4
1954,Male,White,Independent,3,3,3,2,3,3,3
1930,Male,White,Republican,3,4,4,3,3,4,4
1958,Female,White,Independent,4,4,4,1,3,3,3
1953,Female,White,Republican,4,4,4,3,3,4,3
1957,Male,White,Republican,4,4,4,3,2,4,4
1956,Male,White,Independent,3,4,4,2,1,3,2
1950,Male,Other,Independent,3,4,4,1,2,3,3
1972,Male,White,Democrat,3,4,3,3,2,3,4
1974,Male,Black,Independent,3,4,2,3,1,1,4
1963,Male,White,Independent,3,4,4,2,4,3,4
1944,Female,White,Republican,4,4,4,4,4,4,4
1932,Female,White,Independent,4,4,4,4,4,4,4
1956,Male,Other,Independent,4,4,4,1,3,4,3
1946,Male,White,Democrat,2,3,3,4,2,2,4
1946,Male,White,Democrat,3,3,2,4,3,1,4
1973,Female,White,Democrat,4,4,1,4,4,4,4
1966,Female,White,Republican,3,3,4,3,3,4,3
1938,Male,White,Republican,3,4,3,2,2,4,4
1958,Male,White,Republican,4,4,4,2,2,4,3
1951,Male,White,Democrat,3,3,3,4,3,3,4
1950,Male,White,Republican,4,4,4,3,4,4,4
1948,Male,White,Independent,4,4,4,3,4,4,4
1944,Male,White,Democrat,2,3,3,2,1,4,4
1963,Male,White,Independent,4,4,3,4,3,4,4
1982,Male,Hispanic,Republican,3,4,3,2,1,4,4
1975,Male,White,Independent,3,4,4,2,2,3,3
1946,Male,White,Republican,4,4,4,3,4,3,4
1969,Male,Hispanic,Republican,4,4,4,4,4,4,4
1956,Female,Mixed,Independent,4,4,4,2,4,4,4
1961,Female,White,Republican,4,4,4,3,4,4,4
1953,Female,White,Republican,3,4,4,1,4,4,2
1969,Male,White,Republican,3,4,4,2,4,4,3
1970,Male,White,Republican,4,4,NA,3,2,4,4
1940,Male,White,Independent,4,4,4,4,4,4,4
1989,Male,White,Republican,3,4,3,2,4,4,2
1968,Male,White,Republican,3,4,3,2,2,3,3
1962,Male,White,Independent,2,3,1,3,2,2,4
1951,Female,White,Independent,3,4,3,3,3,3,4
1976,Female,White,Independent,4,4,4,2,3,3,4
1955,Male,White,Independent,2,4,3,2,2,3,3
1940,Male,White,Independent,4,4,4,3,3,4,3
1944,Female,White,Democrat,3,3,3,3,1,4,4
1948,Male,White,Democrat,2,3,3,3,2,3,4
1949,Female,White,Independent,4,4,4,3,3,4,3
1963,Male,Mixed,Independent,4,4,4,3,1,4,4
1953,Female,Hispanic,Independent,3,4,2,4,4,3,4
1946,Male,White,Republican,3,4,4,2,4,4,4
1963,Male,White,Republican,3,4,4,2,2,3,3
1954,Male,White,Independent,4,4,3,1,4,4,2
1964,Female,White,Independent,4,4,4,3,3,4,4
1950,Male,White,Independent,2,2,2,2,2,2,2
1950,Male,White,Independent,3,4,3,1,1,3,2
1957,Female,White,Independent,3,3,4,3,2,3,4
1953,Male,White,Democrat,2,3,3,3,3,2,4
1953,Female,White,Republican,4,4,4,2,2,4,3
1956,Male,White,Republican,3,4,4,1,4,NA,NA
1949,Male,White,Republican,4,4,4,3,2,4,3
1950,Female,White,Democrat,4,4,4,3,4,3,4
1951,Male,Black,Other,4,4,4,1,4,4,4
1931,Male,White,Independent,4,4,3,3,3,4,4
1950,Female,White,Democrat,2,3,2,3,1,2,4
1961,Male,White,Independent,4,4,4,3,3,4,3
1950,Male,White,Independent,4,3,3,4,3,3,4
1954,Female,White,Other,4,4,4,3,4,4,4
1951,Male,White,Republican,4,4,4,2,2,4,3
1985,Male,White,Republican,2,4,1,1,2,2,3
1967,Male,White,Republican,3,4,2,2,4,4,3
1956,Female,White,Democrat,4,4,3,4,2,4,4
1987,Female,White,Independent,2,4,3,3,3,1,4
1955,Male,White,Independent,3,3,4,3,4,3,4
1952,Female,White,Republican,4,4,4,3,3,4,4
1957,Male,Mixed,Independent,3,4,3,3,3,3,4
1953,Male,White,Republican,4,4,4,3,4,4,4
1939,Male,White,Democrat,3,4,3,3,3,3,4
1950,Female,White,Independent,3,3,4,1,3,4,4
1965,Female,White,Republican,4,4,4,2,3,4,4
1969,Female,White,Democrat,2,4,4,2,3,2,4
1986,Female,Hispanic,Democrat,3,3,3,4,2,4,4
1974,Male,White,Independent,3,4,3,1,3,3,3
1945,Female,White,Independent,2,3,4,3,4,2,4
1946,Female,White,Democrat,4,4,4,2,4,4,4
1930,Male,White,Democrat,4,4,4,4,4,4,4
1941,Male,White,Republican,4,4,4,3,1,4,4
1985,Female,White,Republican,4,4,4,3,2,3,3
1951,Female,White,Independent,2,3,2,2,3,3,4
1946,Male,White,Independent,4,4,3,3,2,4,4
1954,Female,White,Other,4,4,4,4,3,4,4
1958,Male,White,Independent,2,4,3,4,1,3,4
1936,Male,White,Independent,3,4,2,3,3,3,4
1965,Male,White,Democrat,3,3,3,4,4,3,4
1953,Male,Black,Democrat,4,4,3,4,4,4,4
1954,Female,White,Independent,4,4,4,2,4,3,4
1967,Male,White,Independent,4,4,3,4,2,2,4
1943,Male,White,Republican,4,4,4,2,3,4,4
1961,Male,White,Republican,4,4,3,1,1,4,3
1981,Female,White,Democrat,3,3,3,4,4,2,4
1943,Female,White,Republican,4,4,4,2,4,4,4
1970,Male,White,Democrat,4,4,4,4,1,3,4
1961,Male,White,Republican,1,4,4,1,1,4,2
1954,Male,White,Republican,4,4,4,3,4,4,3
1957,Male,White,Independent,2,4,3,2,2,2,4
1951,Male,White,Independent,3,4,4,3,4,3,4
1968,Male,Black,Independent,2,4,2,3,3,1,4
1946,Male,White,Independent,4,4,4,3,2,4,4
1953,Male,White,Independent,4,3,3,3,1,3,4
1963,Male,White,Democrat,3,4,2,2,1,2,4
1951,Male,White,Republican,4,4,4,4,3,4,4
1948,Female,White,Republican,4,4,4,4,4,4,3
1970,Male,White,Independent,3,3,3,3,4,3,4
1970,Male,White,Democrat,4,4,4,4,2,2,4
1951,Male,White,Independent,3,4,3,4,4,3,4
1973,Male,White,Independent,3,4,4,2,3,3,4
1957,Female,White,Independent,3,4,3,1,2,4,3
1957,Male,White,Independent,3,4,4,2,4,3,4
1962,Male,White,Democrat,4,4,4,4,4,3,4
1954,Male,White,Independent,3,4,3,4,4,2,4
1959,Male,White,Independent,4,4,3,4,4,3,4
1944,Male,White,Democrat,2,3,4,4,3,3,4
1948,Female,White,Democrat,4,4,3,4,4,4,4
1951,Female,Hispanic,Democrat,3,3,NA,3,4,NA,4
1951,Female,White,Democrat,4,3,3,3,4,4,4
1961,Female,White,Republican,3,4,4,1,3,4,4
1961,Female,Hispanic,Republican,3,4,3,2,3,4,3
1978,Male,White,Democrat,3,4,3,4,3,3,4
1966,Male,White,Independent,4,4,4,3,3,4,3
1934,Female,White,Independent,3,4,4,2,3,4,3
1959,Female,White,Democrat,4,4,3,2,2,2,4
1959,Male,White,Democrat,2,3,2,4,1,3,4
1958,Male,Hispanic,Republican,3,4,3,3,3,4,3
1967,Male,White,Democrat,2,3,1,4,1,2,4
1953,Female,White,Democrat,2,3,4,4,4,2,4
1981,Male,White,Independent,3,4,3,3,3,3,3
1955,Female,White,Republican,3,4,4,2,3,4,3
1965,Male,White,Independent,3,4,3,1,1,3,2
1948,Female,White,Democrat,3,3,3,3,4,3,4
1950,Male,White,Democrat,1,4,4,4,4,2,4
1960,Male,White,Democrat,3,4,4,3,4,4,4
1957,Male,White,Republican,4,4,4,4,4,4,4
1954,Male,White,Republican,4,4,4,3,2,4,3
1952,Female,White,Republican,4,4,4,2,3,4,3
1978,Male,White,Independent,2,3,1,3,4,2,4
1965,Male,White,Other,3,4,4,3,2,3,4
1958,Male,White,Independent,3,3,2,3,3,2,4
1954,Male,White,Independent,3,3,1,4,4,3,4
1962,Male,White,Independent,2,2,2,3,2,2,4
1963,Male,White,Other,3,4,3,3,3,3,4
1943,Male,White,Republican,3,4,4,3,3,4,3
1966,Male,White,Independent,3,3,3,4,3,2,4
1961,Female,White,Democrat,3,4,4,3,4,2,4
1947,Female,White,Democrat,4,4,3,4,3,4,4
1955,Male,White,Republican,2,4,4,1,1,3,2
1958,Male,White,Republican,4,4,4,3,4,4,3
1972,Male,White,Independent,4,4,4,3,2,4,2
1969,Male,White,Independent,3,4,3,1,4,4,3
1938,Male,White,Independent,4,4,4,1,1,4,4
1941,Female,White,Democrat,NA,4,2,2,3,2,4
1977,Male,White,Independent,3,4,3,4,3,4,4
1964,Male,White,Republican,4,4,4,1,1,4,1
1955,Female,White,Democrat,4,4,3,4,3,3,4
1948,Female,White,Democrat,4,4,4,3,4,4,4
1983,Female,White,Republican,3,3,4,4,4,3,4
1969,Female,White,Democrat,3,3,2,3,2,3,4
1947,Female,White,Other,3,3,3,4,3,3,4
1949,Female,White,Republican,4,4,3,4,2,4,4
1964,Male,White,Democrat,4,4,4,4,4,3,4
1952,Male,White,Republican,3,4,4,3,3,4,3
1971,Male,White,Republican,3,4,2,3,3,3,3
1960,Male,White,Independent,3,4,3,3,2,3,4
1930,Female,White,Democrat,4,4,3,4,3,4,4
1964,Male,White,Democrat,4,3,3,4,3,3,4
1946,Male,White,Independent,4,4,4,3,3,4,4
1966,Female,White,Independent,3,3,3,4,3,2,4
1960,Male,White,Republican,4,4,4,2,4,4,4
1955,Male,White,Independent,4,3,2,3,3,3,4
1961,Female,White,Democrat,3,3,3,2,4,3,4
1963,Male,White,Independent,2,4,4,NA,2,3,3
1968,Male,Black,Independent,4,2,3,3,4,4,4
1954,Male,Hispanic,Democrat,4,4,4,4,1,4,4
1951,Male,White,Republican,4,4,4,3,1,4,3
1936,Female,White,Democrat,4,4,4,4,4,4,4
1966,Male,White,Democrat,4,3,4,4,4,4,4
1962,Male,White,Republican,4,4,3,1,1,4,2
1947,Female,White,Democrat,3,3,3,4,4,3,4
1977,Female,White,Independent,3,4,3,4,3,3,3
1943,Male,White,Independent,4,4,4,4,1,4,4
1961,Male,White,Independent,3,4,4,3,2,2,4
1958,Male,White,Republican,4,4,3,2,4,4,2
1948,Female,White,Democrat,4,4,4,3,3,4,4
1982,Male,White,Independent,4,4,4,2,4,4,3
1965,Female,White,Independent,4,4,4,4,4,4,4
1961,Male,White,Republican,4,4,4,4,4,4,4
1973,Female,White,Republican,3,3,4,3,4,4,4
1940,Female,White,Republican,4,4,NA,NA,4,4,4
1960,Male,Black,Democrat,3,4,3,4,4,3,4
1949,Female,White,Republican,4,4,4,1,2,4,4
1958,Male,White,Independent,2,3,2,3,2,3,4
1936,Female,White,Democrat,4,4,4,3,3,3,4
1967,Female,White,Democrat,3,3,3,3,3,3,4
1953,Male,White,Democrat,3,3,3,3,3,2,4
1963,Male,White,Independent,4,4,4,2,1,4,3
1967,Male,White,Republican,4,4,4,1,4,4,3
1973,Male,White,Democrat,3,4,2,3,3,3,4
1948,Male,White,Democrat,4,4,2,3,3,4,4
1953,Female,Hispanic,Republican,4,4,4,4,3,4,4
1978,Female,White,Democrat,3,4,3,3,4,3,4
1959,Male,White,Republican,3,4,3,3,3,3,3
