state,birth_year,sex,immi_naturalize_2016,gaymar_2016,deathpen_2016,univhealthcov_2016,envwarm_2016,taxdoug_2016,amshamed_2016,gunown_2016
North Carolina,1961,Male,1,1,NA,1,1,1,4,0
New York,1967,Female,0,0,0,0,3,3,2,1
Kansas,1980,Female,1,1,0,1,1,1,1,0
New York,1961,Female,1,1,0,1,1,1,2,1
New York,1965,Female,0,0,1,0,3,2,2,1
Maryland,1969,Female,1,1,0,1,1,1,1,0
Indiana,1958,Male,0,0,1,0,4,2,2,1
New Jersey,1936,Female,1,1,0,1,1,1,1,0
New Jersey,1956,Female,1,1,0,1,1,1,1,0
New York,1955,Male,1,1,0,1,1,1,1,1
District of Columbia,1953,Female,0,0,1,0,5,2,3,1
Arizona,1970,Male,1,1,NA,1,1,1,3,1
Missouri,1956,Female,1,1,NA,1,1,1,2,0
Skipped,1954,Female,0,1,1,0,1,3,3,NA
Connecticut,1985,Male,1,1,1,0,1,2,2,0
Wisconsin,1983,Female,1,0,0,0,4,3,2,NA
California,1972,Male,1,1,0,1,1,1,1,1
California,1970,Male,1,1,0,1,1,1,1,0
Not Asked,1970,Female,1,1,0,1,1,1,1,1
Texas,1954,Male,0,0,0,0,5,2,3,0
Pennsylvania,1960,Male,1,1,0,1,1,1,1,0
Texas,1982,Male,0,1,0,0,2,2,2,NA
Indiana,1972,Male,1,1,0,1,2,1,1,1
Pennsylvania,1935,Male,NA,0,1,0,4,3,3,NA
Mississippi,1949,Male,1,1,1,1,1,1,2,1
Oregon,1952,Female,1,1,0,1,1,1,1,0
New York,1956,Male,1,1,0,1,1,1,2,1
New Jersey,1959,Male,1,0,1,0,4,2,2,1
North Dakota,1971,Male,0,NA,1,0,4,2,4,1
Iowa,1970,Male,1,1,NA,1,1,1,1,1
Massachusetts,1962,Male,NA,NA,1,NA,1,2,3,0
Pennsylvania,1968,Male,1,1,1,1,1,1,2,1
Not Asked,1956,Male,1,1,0,1,1,1,2,1
Texas,1965,Male,1,1,1,1,1,1,2,1
Not Asked,1949,Male,0,0,1,1,1,1,2,1
Wisconsin,1965,Male,0,0,1,0,4,2,4,NA
Oregon,1957,Female,0,1,0,0,2,2,3,1
Pennsylvania,1955,Female,1,0,0,NA,1,1,1,0
Idaho,1951,Female,1,0,1,0,3,1,4,1
Minnesota,1940,Female,1,1,NA,1,1,1,1,0
Michigan,1981,Male,0,1,1,0,1,3,2,1
Pennsylvania,1961,Female,NA,NA,0,0,3,3,4,1
New York,1954,Female,1,NA,0,0,1,1,1,0
Michigan,1966,Male,0,0,1,0,3,2,1,1
New York,1962,Male,1,1,0,0,3,3,3,0
Iowa,1982,Male,NA,NA,NA,0,5,2,NA,1
Ohio,1962,Male,0,0,1,0,3,2,2,0
Illinois,1952,Male,0,NA,1,0,3,2,4,0
Missouri,1965,Female,1,1,0,1,1,1,2,0
Ohio,1976,Female,1,1,0,1,1,1,1,0
Georgia,1947,Male,1,NA,NA,0,1,1,1,1
Kentucky,1956,Male,NA,0,NA,0,4,2,NA,1
Florida,1990,Male,1,1,1,1,1,1,1,0
Minnesota,1966,Male,0,0,1,0,3,2,4,0
Indiana,1978,Male,0,0,NA,0,2,2,2,NA
Idaho,1964,Male,NA,0,1,0,4,2,3,1
New Jersey,1977,Female,1,1,0,1,1,1,1,1
New York,1970,Male,1,1,0,1,2,1,1,1
North Carolina,1971,Male,1,0,1,0,1,1,1,1
Texas,9998,Female,0,0,1,0,2,3,4,NA
Pennsylvania,1950,Male,NA,1,1,1,1,1,1,0
Pennsylvania,1963,Male,0,0,1,0,1,2,4,0
Colorado,1972,Female,0,1,NA,1,4,1,1,NA
New Jersey,1976,Male,1,1,0,1,1,2,2,1
Illinois,1937,Female,1,1,0,1,1,1,1,0
Illinois,1981,Male,1,1,0,1,1,1,1,0
Nebraska,1954,Male,0,1,1,0,4,1,4,1
Ohio,1956,Male,1,1,NA,1,1,1,1,1
Pennsylvania,1957,Female,1,1,0,1,1,1,1,0
New York,1978,Male,0,0,1,0,4,2,2,0
Arizona,1970,Male,1,1,NA,1,1,1,2,0
Not Asked,1957,Male,1,1,0,1,1,1,2,0
Texas,1971,Male,0,0,1,0,4,2,1,1
Kansas,1964,Female,1,1,0,1,1,1,2,0
Not Asked,1971,Male,1,1,1,1,1,2,1,0
Michigan,1961,Female,0,1,1,0,4,2,4,1
Not Asked,1970,Male,1,1,NA,1,3,1,2,0
Pennsylvania,1956,Female,1,1,0,1,1,2,1,0
California,9998,Male,1,1,0,1,1,1,2,NA
Texas,1971,Female,1,1,1,1,1,1,1,1
Illinois,1956,Female,1,1,0,1,1,1,1,0
California,1931,Female,0,0,1,0,4,2,3,0
Wisconsin,1932,Female,1,1,NA,1,1,1,2,0
Illinois,1957,Male,1,1,0,1,1,1,2,0
Massachusetts,1955,Male,0,1,1,1,2,3,NA,0
Illinois,1954,Male,1,1,0,1,1,1,2,0
South Dakota,1961,Male,1,1,NA,1,1,1,NA,1
Connecticut,1956,Male,NA,0,0,0,2,3,2,0
Michigan,1954,Female,1,0,1,0,2,3,3,0
Oklahoma,1962,Male,0,0,1,0,4,2,4,1
Florida,1955,Male,NA,NA,NA,NA,3,8,NA,NA
Texas,1953,Male,0,0,1,0,3,2,2,1
Iowa,1963,Male,1,0,0,1,1,1,2,0
New York,1958,Male,0,0,1,0,4,2,2,1
North Carolina,1957,Male,1,0,1,0,4,2,4,1
Maryland,1939,Female,0,0,1,0,4,2,3,0
New Jersey,1952,Male,0,0,1,0,3,3,4,0
Washington,1943,Male,1,1,NA,1,1,2,4,0
Mississippi,1954,Female,1,1,NA,0,1,1,2,0
Michigan,1957,Female,1,1,0,0,2,1,2,1
New Jersey,1957,Female,0,1,1,0,4,2,2,1
Massachusetts,1969,Male,1,1,1,0,2,2,3,1
New Jersey,1968,Female,NA,1,1,0,2,1,NA,1
Texas,1969,Male,1,1,1,1,1,1,2,1
Idaho,1974,Male,1,1,1,1,1,1,1,1
Texas,1940,Male,1,1,1,0,1,2,3,1
Missouri,1955,Male,NA,1,1,NA,3,2,4,1
Florida,1974,Male,0,0,1,0,4,2,1,NA
Ohio,1952,Female,NA,0,1,0,4,2,2,1
Illinois,1949,Male,0,0,1,0,4,2,4,1
Oklahoma,1973,Male,1,1,1,1,1,1,1,1
New York,1946,Female,1,NA,1,0,3,1,2,0
Pennsylvania,1937,Male,0,0,1,0,3,2,4,0
California,1971,Female,0,1,1,0,2,1,2,NA
Minnesota,1962,Male,0,0,1,0,3,2,2,1
Wisconsin,1968,Male,NA,NA,1,0,4,2,2,0
Texas,1959,Male,1,1,1,1,2,1,1,1
Colorado,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
New York,1954,Female,NA,NA,1,0,4,2,2,0
Michigan,1961,Female,1,0,NA,0,2,3,2,1
Kentucky,1960,Male,0,0,1,0,2,3,4,0
New York,1965,Male,1,1,0,1,1,1,1,1
Indiana,1955,Male,1,1,1,0,5,2,3,0
California,1939,Female,1,0,1,0,2,3,4,0
California,1957,Female,1,0,0,1,2,3,3,NA
Montana,1955,Male,1,NA,1,0,4,1,2,0
Pennsylvania,1962,Male,0,0,1,0,4,2,4,1
Michigan,1956,Male,1,1,0,1,1,1,1,1
Kentucky,1953,Male,1,1,1,0,3,2,4,0
Not Asked,1973,Male,0,0,1,0,3,2,2,1
Connecticut,1931,Female,1,0,NA,1,1,1,2,0
New Hampshire,1950,Male,0,1,0,0,4,2,3,NA
California,1957,Female,NA,0,1,0,3,2,NA,NA
Montana,1957,Male,0,0,1,0,3,2,4,1
Wisconsin,1970,Male,0,0,1,0,4,2,3,1
California,1934,Male,NA,1,0,NA,1,1,1,0
Kentucky,1937,Female,1,1,0,1,1,1,2,1
Tennessee,1952,Male,NA,NA,1,0,5,3,NA,1
New York,1966,Male,NA,NA,NA,0,2,2,3,0
Not Asked,1969,Male,1,NA,0,0,1,1,1,0
New Mexico,1961,Male,1,0,NA,0,2,2,4,0
Illinois,1939,Male,1,1,0,NA,1,1,3,NA
Massachusetts,1974,Female,0,1,1,0,3,2,3,NA
Louisiana,1958,Male,0,NA,NA,0,5,2,NA,0
Missouri,1978,Male,NA,NA,1,0,3,2,3,1
California,1962,Female,0,1,1,0,4,2,3,1
New York,1960,Male,1,1,1,0,1,1,1,1
New York,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Michigan,1947,Male,NA,0,NA,0,4,3,4,1
West Virginia,1983,Female,1,1,0,0,1,1,1,0
New York,1955,Male,1,1,1,0,3,2,2,1
Illinois,1974,Female,1,1,0,1,1,1,1,0
New Jersey,1965,Male,1,1,NA,NA,3,3,3,NA
Arizona,1949,Female,1,0,1,0,3,2,3,1
New York,1955,Male,NA,0,NA,0,2,3,4,0
Not Asked,1947,Male,0,0,1,0,3,1,2,1
Mississippi,1969,Male,NA,1,0,0,5,2,4,1
Washington,1957,Male,0,0,1,0,3,2,4,1
New Jersey,1953,Male,0,0,1,0,4,1,4,0
Texas,1949,Male,0,0,1,0,3,3,3,1
Texas,1967,Male,1,0,1,0,4,1,2,1
Ohio,1963,Male,1,1,1,1,1,1,1,1
New York,1971,Male,NA,1,NA,1,1,1,1,0
Connecticut,1976,Male,1,1,1,1,1,1,2,0
Missouri,1963,Male,0,NA,1,0,4,2,2,1
Michigan,1964,Male,NA,1,1,0,4,3,3,NA
Mississippi,1955,Female,1,1,0,1,1,1,1,0
Tennessee,1932,Female,NA,0,1,0,2,2,2,1
Kansas,1971,Male,1,1,NA,1,1,1,2,1
Mississippi,1953,Male,0,0,1,0,4,2,2,1
Illinois,1955,Female,1,0,1,1,1,1,2,0
Michigan,1954,Female,0,0,0,0,3,2,2,1
New York,1956,Male,1,0,NA,0,2,2,NA,0
Ohio,1971,Male,0,NA,1,0,2,2,3,1
New York,1967,Male,0,1,1,0,2,2,1,0
Ohio,1969,Male,1,1,0,1,1,1,2,NA
Maryland,1986,Male,0,1,1,0,2,2,2,0
Illinois,1964,Male,0,1,1,0,5,1,3,0
Florida,1974,Male,NA,0,1,0,3,2,4,1
California,1946,Male,1,1,0,1,1,1,2,0
Utah,1961,Male,1,1,1,1,1,1,2,0
California,1944,Female,0,0,1,0,4,2,4,0
Idaho,1966,Male,0,NA,1,0,4,2,4,1
Michigan,1966,Female,1,1,0,1,1,1,2,0
Texas,1955,Female,1,1,0,1,1,1,2,0
Rhode Island,1943,Female,0,0,1,0,4,2,4,1
New York,1942,Male,1,0,1,0,4,1,3,0
Pennsylvania,1965,Male,0,1,0,0,4,1,3,0
New York,1960,Female,1,1,1,0,2,2,4,1
Utah,1955,Male,1,0,1,0,2,1,3,0
Kentucky,1945,Male,0,0,1,0,4,2,4,NA
Florida,1974,Female,1,1,NA,0,2,2,NA,NA
New York,1953,Female,1,0,0,0,3,2,4,0
Illinois,1981,Male,1,1,0,1,1,1,3,0
Illinois,1951,Female,1,NA,0,0,3,2,3,NA
California,1951,Male,0,0,1,0,3,2,2,1
Minnesota,1968,Male,1,1,NA,1,1,1,1,0
California,1958,Male,NA,0,1,NA,2,3,2,1
Ohio,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Michigan,1967,Female,1,1,0,1,1,1,1,1
Arizona,1952,Female,NA,1,NA,0,4,2,4,NA
Nebraska,1954,Male,NA,0,0,0,2,2,2,1
New Jersey,1953,Female,NA,1,1,0,3,2,2,0
Not Asked,1957,Male,0,1,1,0,2,3,3,1
Pennsylvania,1956,Male,0,0,1,0,5,3,2,1
Ohio,1946,Male,0,0,1,0,4,2,4,1
Idaho,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
South Carolina,1974,Male,1,0,1,1,2,1,1,1
West Virginia,1963,Male,0,0,NA,0,4,2,3,1
Massachusetts,1932,Female,0,0,0,0,3,2,4,0
New York,1956,Male,0,0,1,0,2,2,2,NA
New Jersey,1946,Male,1,1,0,1,1,1,2,1
California,1966,Female,1,0,1,0,4,2,2,0
Massachusetts,1938,Male,1,0,NA,0,2,3,1,1
New York,1958,Male,0,0,1,0,4,2,4,0
Michigan,1961,Male,1,1,0,1,1,1,1,0
Massachusetts,1948,Male,1,1,1,0,2,2,3,0
North Carolina,1944,Male,1,1,1,1,1,1,1,1
Illinois,1946,Male,0,0,1,0,4,2,2,0
Texas,1962,Male,1,1,1,0,2,3,2,1
Maryland,1956,Female,NA,NA,NA,NA,1,3,2,1
Pennsylvania,1953,Female,0,0,0,0,4,2,4,NA
Georgia,1969,Male,1,0,1,0,4,2,4,1
Illinois,1970,Male,NA,1,1,0,5,3,4,1
Iowa,1940,Male,NA,0,1,0,4,2,1,1
Rhode Island,1973,Skipped,1,1,NA,1,1,1,1,0
Ohio,1989,Male,0,1,1,0,2,2,4,0
Wisconsin,1968,Male,0,NA,NA,0,3,3,3,1
Virginia,1951,Female,1,1,0,0,1,1,1,0
Florida,1955,Male,0,0,1,0,5,2,3,1
Maine,1944,Female,1,1,0,1,1,1,1,0
Vermont,1949,Female,0,0,NA,0,3,1,1,0
Arizona,1963,Male,0,0,1,0,3,2,2,1
Nevada,1953,Female,1,1,1,1,1,1,1,1
Illinois,1946,Male,0,0,0,0,2,3,1,1
New York,1963,Male,0,0,1,0,3,2,3,1
New York,1954,Male,1,1,0,0,3,2,4,0
Connecticut,1964,Female,0,NA,1,0,4,2,3,NA
Pennsylvania,1950,Male,1,1,0,1,1,1,2,0
Indiana,1950,Male,NA,0,1,0,2,2,3,1
Wisconsin,1957,Female,0,0,1,0,4,3,NA,NA
Texas,1953,Male,1,NA,0,1,1,1,1,1
Illinois,1956,Male,0,0,1,0,4,2,2,0
Ohio,1953,Male,0,1,1,0,5,2,4,1
Indiana,1951,Male,NA,0,1,0,3,2,2,1
New York,1963,Male,1,1,1,0,2,2,2,1
New York,1931,Male,1,1,NA,1,1,1,2,0
Washington,1950,Female,1,1,0,1,1,1,1,1
Georgia,1961,Male,0,0,1,0,2,2,4,1
New York,1950,Male,1,1,0,1,1,1,2,1
Florida,1951,Male,0,0,1,0,4,2,2,1
Pennsylvania,1985,Male,0,1,0,0,2,2,1,0
Not Asked,1967,Male,0,0,0,0,2,2,4,0
Minnesota,1952,Female,NA,0,1,0,3,2,2,1
Pennsylvania,1957,Male,1,1,0,0,2,2,1,1
Pennsylvania,1953,Male,0,1,1,0,3,2,2,0
Rhode Island,1969,Female,1,1,1,1,1,3,1,0
Arizona,1961,Male,0,1,1,0,3,2,4,1
Texas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
North Carolina,1946,Female,0,0,1,0,4,2,4,1
Maine,1930,Male,1,NA,NA,1,1,1,2,1
Texas,1941,Male,0,0,1,0,4,2,1,0
California,1985,Female,NA,NA,1,0,3,2,2,0
Rhode Island,1953,Female,0,1,0,1,1,2,2,0
Michigan,1958,Male,NA,1,1,1,2,2,2,1
Iowa,1954,Female,NA,1,1,NA,1,1,2,1
Virginia,1943,Male,0,0,1,0,4,2,2,1
Pennsylvania,1965,Male,0,0,1,1,2,1,2,1
Colorado,1943,Female,0,0,1,0,4,2,4,1
Colorado,1970,Male,1,1,1,1,4,1,1,1
New York,1951,Female,0,0,1,0,4,2,4,NA
Indiana,1961,Male,0,0,1,0,4,2,4,NA
New York,1957,Male,1,1,NA,1,1,3,1,1
North Carolina,9998,Female,1,1,0,1,1,3,2,0
Vermont,1951,Male,1,1,0,1,1,1,2,1
Missouri,1946,Male,0,0,1,0,3,1,2,0
Michigan,1953,Male,NA,1,1,1,1,1,2,1
Texas,1970,Male,1,NA,1,0,4,2,4,0
Rhode Island,1963,Male,1,1,NA,0,1,3,2,0
Massachusetts,1969,Male,1,1,1,1,1,1,2,1
California,1951,Male,1,1,1,1,1,1,1,0
New York,1957,Female,1,NA,1,0,2,1,4,0
Oregon,1957,Male,1,0,1,1,1,3,1,0
California,1962,Male,1,1,1,1,1,1,1,0
Hawaii,1954,Male,1,1,0,1,1,1,2,1
Illinois,1944,Male,1,1,0,1,1,1,2,1
New Hampshire,1953,Female,1,1,0,1,1,1,2,0
Illinois,1951,Female,0,1,1,0,2,1,2,1
Maryland,1951,Female,NA,NA,NA,NA,5,1,3,0
Michigan,1961,Female,0,NA,1,0,4,2,3,1
California,1961,Female,0,0,1,0,3,2,4,NA
North Carolina,1978,Male,1,1,0,1,1,1,2,0
Kentucky,1934,Female,0,1,0,NA,1,2,3,0
Connecticut,1959,Female,1,1,0,1,1,2,2,0
Texas,1958,Male,0,NA,1,0,4,3,4,1
North Carolina,1967,Male,1,1,0,1,1,1,1,0
Connecticut,1953,Female,1,1,0,1,1,1,1,1
Michigan,1955,Female,0,NA,1,0,4,2,4,1
Pennsylvania,1965,Male,0,1,1,0,2,2,2,1
South Carolina,1957,Male,0,0,1,0,2,2,1,1
California,1954,Male,1,1,1,0,2,3,3,NA
Ohio,1952,Female,NA,1,1,0,3,2,4,0
Missouri,1978,Male,1,1,NA,1,1,1,1,0
Indiana,1958,Male,1,1,0,0,1,1,1,1
California,1954,Male,1,1,NA,1,1,1,1,1
North Carolina,1962,Male,1,1,NA,1,1,1,1,0
Washington,1943,Male,1,1,1,0,1,2,2,1
Washington,1961,Female,1,1,0,0,1,1,3,0
Oregon,1947,Female,0,NA,NA,1,1,2,2,1
California,1951,Male,1,1,1,0,3,2,4,0
Virginia,1948,Male,0,0,1,0,4,2,3,1
Texas,1969,Male,0,0,1,0,3,2,4,1
New York,1938,Male,0,1,1,0,2,2,4,0
Illinois,1941,Female,1,1,0,1,1,1,2,0
Florida,1964,Male,0,1,1,0,4,2,4,1
Colorado,1941,Female,NA,0,1,0,4,1,4,NA
Alabama,1955,Female,NA,NA,1,1,1,1,1,1
California,1948,Female,0,1,1,1,1,1,2,0
New Hampshire,1969,Female,1,1,0,1,1,1,2,0
Michigan,1947,Female,1,1,NA,1,1,1,1,0
Pennsylvania,1949,Female,1,0,1,1,1,1,1,0
New Jersey,1952,Male,0,0,0,0,3,2,3,1
Tennessee,1971,Male,0,0,1,0,2,1,3,1
Louisiana,1964,Male,1,1,0,1,1,1,2,0
Alabama,1946,Male,0,0,1,0,2,1,2,1
New York,1966,Female,1,1,0,1,1,1,1,0
Skipped,1955,Male,1,1,1,NA,1,1,NA,1
Illinois,1961,Female,1,1,1,1,1,1,1,0
Missouri,1963,Male,0,NA,1,0,3,2,4,1
New York,1968,Male,0,1,0,1,1,2,2,0
Pennsylvania,1934,Male,1,1,0,1,1,1,1,0
Florida,1954,Male,0,1,1,1,3,1,1,0
New Jersey,1951,Male,NA,0,1,0,3,3,4,NA
North Dakota,1936,Female,1,1,0,1,1,1,1,1
Arizona,1962,Male,NA,1,1,0,3,2,3,1
California,1943,Male,1,1,1,1,1,1,3,1
Oregon,1961,Male,1,1,1,0,2,1,1,1
New York,1958,Male,0,0,1,0,4,2,2,1
Michigan,1948,Female,1,1,1,0,2,1,2,0
Texas,1965,Female,0,1,1,NA,1,1,2,1
Indiana,1973,Female,0,0,1,0,4,2,2,1
Colorado,1940,Female,NA,0,1,0,3,1,2,0
Pennsylvania,1953,Female,1,NA,NA,1,1,1,3,0
New Jersey,1960,Male,1,1,NA,1,1,1,1,NA
Missouri,1949,Female,0,0,1,0,3,2,2,0
Iowa,1949,Female,1,1,0,1,1,1,1,1
Virginia,1958,Male,1,1,0,1,1,1,2,1
Oregon,1936,Female,1,1,0,1,1,1,2,1
Maryland,1967,Female,1,1,0,1,1,1,1,0
Michigan,1953,Male,1,1,1,1,1,1,2,1
Connecticut,1963,Male,0,0,1,0,4,2,2,0
Wisconsin,1967,Male,0,0,1,0,4,2,3,1
California,1953,Female,0,1,1,0,3,2,4,1
Not Asked,1972,Male,NA,1,1,1,1,1,2,0
Ohio,1978,Female,1,1,NA,1,1,1,1,0
Illinois,1959,Male,NA,1,1,NA,2,1,NA,0
Not Asked,1963,Male,NA,NA,0,0,2,1,2,0
Illinois,1955,Female,1,1,0,1,1,1,2,0
Louisiana,1973,Male,1,0,0,0,1,1,2,1
New York,1945,Male,1,1,0,1,1,1,2,1
Massachusetts,1987,Male,1,1,0,1,1,1,2,0
California,1942,Male,0,0,1,0,2,2,2,0
Indiana,1971,Female,0,0,NA,0,3,1,2,0
Massachusetts,1957,Male,0,0,1,0,4,2,4,0
Pennsylvania,1939,Female,1,1,0,1,1,1,1,0
Wisconsin,1962,Male,1,1,0,1,2,1,2,1
Utah,1935,Male,1,1,0,1,1,1,3,0
New York,1956,Female,0,0,0,0,4,2,4,0
Massachusetts,1958,Female,0,1,NA,0,1,1,NA,0
Pennsylvania,1952,Male,NA,1,1,0,4,2,1,1
Pennsylvania,1952,Female,NA,0,0,0,3,2,4,1
Ohio,1954,Female,1,1,0,1,1,1,1,0
Oklahoma,1958,Male,1,1,0,1,1,1,2,1
Pennsylvania,1963,Male,0,0,1,0,3,2,4,1
Not Asked,1953,Female,0,0,0,NA,3,1,1,1
Texas,1974,Male,1,1,0,1,1,1,1,0
Illinois,1969,Female,NA,0,1,0,3,2,2,0
Connecticut,1941,Male,1,1,1,1,1,1,2,1
New York,1941,Male,1,1,0,1,1,1,2,0
North Carolina,1960,Male,1,NA,1,0,1,1,3,1
California,1965,Male,0,0,1,0,3,1,1,0
Texas,1933,Female,0,0,1,0,3,2,4,0
New York,1955,Female,1,1,0,1,1,1,2,0
Pennsylvania,1951,Male,NA,0,1,0,3,3,3,1
Massachusetts,1970,Female,1,1,0,1,1,1,1,0
Arizona,1940,Male,0,0,1,0,3,1,3,1
California,1953,Female,1,1,1,1,1,1,3,0
Massachusetts,1962,Male,1,1,0,1,1,1,1,0
Illinois,1946,Male,NA,0,1,0,4,2,4,NA
Indiana,1951,Male,NA,NA,1,0,2,2,4,1
New York,1944,Male,1,1,0,1,1,1,2,0
New York,1959,Female,1,0,NA,1,1,1,1,0
Massachusetts,1943,Male,0,0,1,0,3,2,2,0
Illinois,1952,Male,0,0,1,0,4,2,4,0
Minnesota,1979,Male,0,0,1,0,4,2,3,NA
Texas,1970,Male,0,NA,1,0,5,2,2,1
Pennsylvania,1985,Male,1,NA,0,0,1,1,4,0
California,1956,Male,0,1,1,0,4,1,4,1
Kentucky,1978,Male,0,1,0,0,2,3,3,1
Florida,1950,Male,1,1,NA,1,1,1,1,0
New York,1940,Male,0,0,1,0,3,1,1,0
New Mexico,1970,Male,1,NA,1,0,3,2,1,1
Michigan,1958,Male,0,0,1,0,3,3,2,1
Mississippi,1934,Male,1,0,0,1,1,1,2,1
Wisconsin,1970,Female,0,1,0,1,1,1,2,0
Arkansas,1943,Male,1,1,0,1,1,1,1,0
California,1956,Male,0,0,1,0,3,2,4,1
Pennsylvania,1937,Female,NA,NA,1,NA,2,3,1,1
New Jersey,1946,Female,NA,0,1,0,4,2,NA,NA
Virginia,1963,Male,1,1,1,0,2,1,1,0
Texas,1953,Female,1,1,1,1,1,1,1,1
Michigan,1959,Male,0,NA,1,0,4,2,4,0
California,1957,Male,1,1,0,1,1,1,1,0
Michigan,1975,Female,1,1,0,1,1,1,1,0
Indiana,1968,Male,NA,1,1,1,1,1,2,0
Arizona,1959,Male,1,1,0,1,1,1,2,0
New York,1949,Female,NA,1,0,1,1,1,3,0
Minnesota,1946,Male,1,NA,0,0,2,2,2,1
Michigan,1964,Male,1,1,0,1,1,1,2,0
Delaware,1948,Female,1,1,1,0,3,2,3,1
Wisconsin,1937,Male,1,1,0,1,1,1,2,0
Idaho,1954,Male,1,1,NA,1,1,1,2,0
Utah,1957,Female,1,1,0,NA,1,1,2,0
New York,1967,Male,1,1,1,0,1,2,3,1
Indiana,1949,Male,0,0,1,0,4,2,4,NA
Illinois,1952,Male,NA,0,1,0,4,2,4,1
Massachusetts,1964,Male,0,NA,1,0,3,3,3,0
Wisconsin,1970,Male,0,NA,1,0,4,2,NA,1
New York,1949,Male,1,0,1,0,3,2,4,0
California,1949,Female,1,1,0,1,2,1,4,1
Washington,1945,Male,0,0,1,0,1,1,2,1
California,1942,Female,NA,NA,NA,0,3,2,2,0
Oklahoma,1961,Female,0,0,1,NA,1,1,3,0
Maryland,1956,Female,1,1,NA,1,1,1,1,0
Indiana,1964,Female,0,NA,1,0,3,3,2,0
Indiana,1939,Female,1,1,0,1,1,1,2,0
New Jersey,1980,Female,0,NA,1,1,1,1,2,0
Missouri,1958,Male,NA,1,1,1,2,1,2,1
Not Asked,1962,Male,1,1,0,0,3,1,1,0
California,1954,Female,1,1,1,1,1,1,1,1
Not Asked,1967,Male,1,1,0,1,1,1,2,0
Pennsylvania,1965,Female,0,1,1,0,2,1,1,0
Nebraska,1952,Skipped,0,NA,1,0,4,2,4,0
Missouri,1968,Male,1,1,0,0,5,2,2,0
Pennsylvania,1966,Female,NA,0,NA,NA,2,1,2,1
California,1966,Female,1,1,NA,1,1,3,2,0
Wisconsin,1957,Female,0,0,1,0,4,2,2,0
Not Asked,1962,Female,NA,0,1,0,2,3,4,NA
California,1954,Female,1,1,0,NA,1,1,2,1
New York,1952,Female,1,1,0,1,1,1,2,0
South Carolina,1964,Female,1,1,0,1,1,1,1,1
Minnesota,1961,Male,1,1,0,1,1,1,1,1
Indiana,1951,Female,0,1,0,0,4,1,2,1
Kentucky,1949,Male,0,0,1,0,4,2,4,1
