birth_year,sex,race,party_id,educ_2017,ft_black_2017,ft_white_2017,ft_hisp_2017,ft_asian_2017,ft_muslim_2017,ft_jew_2017,ft_christ_2017,ft_fem_2017,ft_immig_2017,ft_gays_2017,ft_unions_2017,ft_police_2017,ft_altright_2017,ft_evang_2017,ft_dem_2017,ft_rep_2017
1936,Female,White,Democrat,Post-grad,98,97,91,91,92,94,79,91,97,74,91,79,0,50,95,12
1954,Female,White,Republican,Post-grad,33,80,63,89,6,93,100,41,19,61,75,100,5,99,11,91
1969,Female,White,Independent,Some college,51,51,51,51,51,51,41,60,51,51,51,60,0,1,60,31
1952,Male,Mixed,Independent,Post-grad,91,91,90,91,91,90,91,91,50,90,80,91,2,81,91,50
1944,Female,White,Democrat,Post-grad,80,64,77,86,80,92,50,88,75,92,77,66,6,44,76,31
1956,Female,White,Democrat,4-year,85,50,72,69,51,51,12,99,77,73,86,29,1,2,63,3
1955,Male,White,Democrat,4-year,100,100,100,100,100,100,100,100,100,100,100,65,8,61,100,91
1928,Female,White,Independent,High school graduate,81,82,77,69,26,94,98,28,82,54,22,97,NA,NA,6,70
1952,Female,White,Democrat,Post-grad,80,30,50,50,52,50,NA,76,51,51,100,51,NA,NA,50,NA
1959,Male,White,Democrat,No HS,82,51,99,100,51,100,28,100,80,100,97,53,0,0,78,0
1953,Female,White,Republican,4-year,40,50,49,49,30,45,49,1,45,1,0,69,0,100,0,40
1970,Male,White,Independent,Post-grad,80,76,82,81,89,91,41,95,94,95,75,80,NA,NA,81,27
1963,Male,White,Independent,4-year,64,51,61,57,56,53,60,58,70,70,56,26,1,20,56,1
1956,Female,White,Democrat,Some college,100,50,97,96,86,92,89,91,95,99,97,51,1,4,100,6
1954,Female,White,Independent,High school graduate,75,80,75,60,1,80,80,35,46,50,30,80,2,80,6,40
1985,Male,White,Independent,Some college,41,50,50,60,31,60,40,12,60,60,3,41,3,12,21,30
1983,Female,White,Independent,2-year,31,66,75,59,53,73,92,2,50,27,26,60,NA,78,9,31
1972,Male,Hispanic,Independent,Post-grad,90,65,91,92,79,50,10,99,100,95,56,30,2,NA,75,4
1970,Male,White,Independent,Some college,100,100,100,100,100,100,4,100,100,100,61,78,3,25,56,3
1937,Female,White,Democrat,Some college,100,100,100,89,55,100,9,98,71,78,70,80,1,0,80,0
1970,Female,Black,Democrat,Post-grad,72,51,40,70,90,79,70,71,100,89,89,10,0,10,90,0
1959,Male,White,Republican,4-year,75,75,90,100,1,100,100,1,75,50,5,100,100,100,1,100
1954,Male,Other,Republican,Some college,51,52,50,51,29,51,91,10,52,51,9,79,59,58,9,86
1960,Male,White,Democrat,Post-grad,45,90,51,59,60,28,3,60,70,100,98,5,2,1,79,1
1982,Male,Hispanic,Other,4-year,97,98,98,99,96,99,97,10,95,99,3,100,53,96,2,40
1972,Male,White,Democrat,4-year,70,66,65,65,66,66,70,65,66,75,70,90,0,46,65,45
1935,Male,White,Republican,4-year,69,50,50,69,21,77,99,20,50,30,45,89,2,69,20,70
1949,Male,White,Democrat,2-year,84,91,60,51,61,76,100,51,75,50,100,96,50,51,90,2
1952,Female,White,Democrat,Post-grad,93,70,92,83,88,80,66,100,95,97,75,86,4,7,NA,10
1956,Male,White,Independent,2-year,70,72,71,71,66,72,71,50,66,51,71,65,NA,50,66,12
1959,Male,White,Republican,Post-grad,56,92,51,62,11,91,100,38,62,49,29,98,NA,96,NA,27
1971,Male,Mixed,Independent,Some college,99,52,52,51,50,97,100,0,100,49,0,100,51,98,0,100
1959,Female,Other,Democrat,Some college,99,99,99,99,50,99,51,77,98,99,78,62,1,2,61,4
1962,Male,White,Republican,Post-grad,31,90,50,51,25,66,90,45,41,50,61,80,NA,71,30,70
1968,Male,White,Independent,4-year,80,81,80,81,55,80,81,81,80,80,60,60,1,30,80,10
1956,Male,White,Democrat,4-year,95,51,96,51,75,95,51,85,91,90,95,96,0,1,80,0
1949,Male,White,Democrat,High school graduate,38,80,96,24,20,51,97,48,6,0,10,51,1,98,99,4
1965,Male,White,Republican,High school graduate,25,25,50,25,16,25,50,2,20,25,1,30,100,16,1,25
1957,Female,White,Independent,2-year,80,80,81,80,80,80,51,90,51,52,31,91,21,41,30,31
1955,Female,White,Democrat,4-year,100,100,100,100,100,100,100,100,100,100,100,10,0,100,100,0
1940,Female,White,Independent,Some college,73,78,74,71,82,75,76,86,89,84,98,81,NA,5,67,38
1981,Male,White,Independent,Post-grad,77,77,78,80,56,88,78,97,53,77,74,86,3,44,98,52
1981,Male,White,Republican,4-year,98,99,99,98,99,98,100,25,78,99,28,99,NA,99,2,51
1944,Male,White,Democrat,High school graduate,71,71,70,70,50,71,71,91,71,69,100,90,0,0,77,3
1961,Female,White,Democrat,2-year,100,98,100,99,50,100,100,24,60,93,24,100,NA,NA,50,55
1954,Female,Hispanic,Independent,Some college,98,92,100,87,81,88,90,80,77,79,69,77,56,73,88,80
1966,Male,White,Other,Some college,35,50,75,60,25,75,50,15,75,15,20,60,50,50,25,35
1962,Male,White,Independent,2-year,NA,NA,NA,NA,NA,NA,NA,NA,NA,99,NA,90,NA,NA,NA,NA
1982,Male,White,Independent,Post-grad,70,97,81,84,55,77,91,53,54,51,32,81,78,80,12,76
1962,Male,White,Republican,4-year,41,75,47,56,2,66,71,1,59,50,0,75,72,52,3,66
1955,Female,White,Independent,Some college,81,75,90,100,45,81,100,9,78,76,80,92,53,36,49,80
1952,Male,White,Republican,2-year,50,100,89,90,NA,98,100,5,50,50,10,100,NA,100,5,80
1965,Female,White,Independent,Post-grad,95,90,97,92,84,86,52,100,96,96,90,90,NA,NA,91,NA
1976,Female,Hispanic,Democrat,2-year,71,76,70,86,72,78,47,100,66,100,75,73,44,39,82,42
1947,Male,White,Independent,Post-grad,70,70,70,71,71,71,40,42,70,61,51,40,0,21,51,0
1956,Male,White,Republican,4-year,71,85,70,80,6,80,95,10,50,20,40,100,50,85,5,75
1966,Male,White,Republican,4-year,78,59,90,NA,28,88,86,57,59,57,31,100,68,70,10,59
1978,Male,White,Independent,4-year,50,50,50,50,50,50,50,50,50,50,0,50,50,50,0,0
1964,Male,White,Republican,2-year,40,75,70,80,0,81,80,1,50,25,10,85,0,80,0,30
1977,Female,White,Democrat,4-year,97,77,93,91,93,92,91,94,93,97,95,85,3,74,91,13
1970,Male,White,Democrat,2-year,81,80,100,91,73,99,51,51,99,99,72,51,2,16,91,30
1969,Male,White,Democrat,Post-grad,50,51,51,51,47,51,56,41,60,100,71,45,18,21,66,28
1950,Male,White,Other,Post-grad,75,76,85,87,5,100,20,41,46,95,51,25,29,5,31,6
1963,Male,White,Republican,Some college,100,50,31,100,31,100,100,30,30,50,3,100,30,100,4,31
1972,Female,White,Independent,4-year,52,NA,49,70,NA,81,34,77,62,77,71,42,NA,23,63,20
1976,Male,White,Democrat,4-year,51,50,50,50,46,50,50,51,50,51,60,61,11,2,70,10
1937,Female,White,Democrat,4-year,63,66,60,63,73,41,62,83,58,68,55,45,14,17,77,31
1981,Male,White,Independent,Post-grad,100,25,100,100,100,100,5,50,100,90,100,45,NA,5,85,10
1954,Male,White,Independent,Post-grad,8,99,3,41,1,91,89,0,1,94,53,78,63,21,2,96
1967,Male,White,Democrat,4-year,77,71,81,85,42,59,44,75,78,96,78,29,0,7,59,18
1956,Male,White,Democrat,Post-grad,50,50,50,50,45,60,50,75,60,50,99,45,1,25,85,25
1957,Female,White,Democrat,Post-grad,78,55,78,86,78,88,28,96,87,100,91,75,1,3,77,0
1978,Male,White,Independent,Post-grad,50,52,27,78,12,90,88,2,49,51,27,88,78,66,2,69
1969,Male,White,Democrat,Some college,100,31,100,100,95,96,47,52,100,100,22,80,0,41,70,4
1970,Male,White,Democrat,4-year,78,77,79,83,79,84,77,77,70,100,90,78,2,23,66,24
1957,Male,Hispanic,Democrat,2-year,67,76,99,84,89,79,53,89,89,100,75,54,0,0,92,0
1971,Male,White,Independent,Some college,80,99,91,95,1,100,100,1,6,1,1,99,1,100,1,50
1964,Female,White,Democrat,4-year,53,52,51,51,52,53,8,59,52,51,44,50,NA,NA,62,4
1971,Male,Other,Independent,4-year,52,1,58,77,7,100,1,91,100,71,57,11,1,1,12,2
1961,Female,White,Republican,2-year,99,99,95,95,50,100,98,11,60,96,6,100,50,81,1,71
1970,Male,Asian,Democrat,Post-grad,81,50,70,90,50,89,50,70,80,70,50,76,0,31,80,20
1956,Female,White,Democrat,Some college,60,53,64,53,69,80,51,50,80,72,85,86,3,57,81,0
1971,Female,White,Independent,Post-grad,91,53,91,44,84,90,16,67,67,92,58,36,2,6,67,2
1972,Male,White,Independent,Post-grad,89,79,88,90,53,90,50,82,88,91,80,89,NA,50,78,51
1956,Female,White,Democrat,Post-grad,99,99,99,99,76,67,55,99,72,100,99,27,0,8,80,20
1931,Female,White,Republican,High school graduate,85,100,95,90,50,100,100,75,50,70,0,100,NA,70,6,97
1932,Female,White,Democrat,High school graduate,80,80,80,80,80,80,80,80,80,80,85,60,0,50,80,5
1957,Male,Hispanic,Democrat,4-year,70,69,94,95,81,80,21,83,90,76,79,70,5,6,90,6
1955,Male,White,Independent,High school graduate,51,70,80,80,51,71,70,50,76,50,88,83,50,51,40,39
1981,Male,White,Republican,Post-grad,53,53,53,54,51,56,79,51,53,49,28,81,8,89,38,63
1960,Female,White,Democrat,Post-grad,99,19,98,100,100,100,NA,96,96,100,100,30,NA,0,98,NA
1954,Male,White,Democrat,High school graduate,99,100,100,100,81,79,2,100,80,100,100,79,0,1,61,1
1956,Male,White,Independent,4-year,50,50,55,50,40,60,65,41,50,50,51,60,30,60,30,50
1954,Female,White,Independent,Post-grad,50,50,75,65,0,80,80,30,40,50,25,80,25,70,0,30
1962,Male,White,Republican,Some college,94,92,94,94,NA,94,93,NA,70,51,20,92,51,91,NA,69
1956,Male,White,Independent,Post-grad,78,80,60,82,31,79,88,3,51,21,13,98,41,69,1,83
1953,Male,White,Independent,4-year,50,85,51,61,5,51,90,0,51,25,11,70,50,90,5,30
1963,Male,White,Democrat,4-year,66,67,66,76,65,71,91,51,60,70,100,95,2,51,96,12
1958,Male,White,Republican,2-year,72,85,24,25,4,85,90,7,34,3,14,97,93,90,2,67
1957,Male,White,Republican,4-year,90,90,90,90,50,90,99,11,80,50,80,99,90,94,11,80
1969,Male,White,Republican,4-year,51,NA,52,50,9,97,96,3,8,5,3,99,97,NA,3,46
1955,Male,White,Republican,High school graduate,76,88,55,52,49,63,49,16,47,40,20,65,22,11,32,78
1939,Female,White,Republican,2-year,80,96,80,96,11,95,89,5,51,51,10,95,50,96,6,60
1952,Male,White,Independent,Post-grad,52,50,52,51,31,79,80,6,50,50,50,50,NA,49,10,20
1944,Male,White,Republican,High school graduate,0,99,29,100,1,78,99,1,6,26,1,100,77,78,7,100
1964,Male,White,Republican,4-year,25,98,91,96,72,82,99,48,85,80,3,85,45,82,3,100
1954,Female,White,Independent,2-year,75,87,74,79,46,75,68,57,81,82,26,85,0,44,32,16
1957,Female,White,Independent,2-year,94,96,96,95,93,97,95,78,93,95,36,94,52,88,74,81
1957,Female,White,Independent,Post-grad,100,100,100,100,50,100,81,3,50,100,4,100,35,50,40,81
1969,Male,White,Independent,High school graduate,50,51,51,50,41,51,51,41,51,50,26,90,2,41,32,51
1968,Female,White,Independent,Post-grad,54,72,62,76,43,60,56,50,56,58,13,63,46,21,56,56
1969,Male,Mixed,Independent,4-year,50,50,50,50,50,50,50,0,51,51,32,75,1,1,25,25
1974,Male,White,Independent,4-year,68,51,69,71,59,66,30,81,75,75,74,60,2,2,71,3
1940,Male,White,Independent,High school graduate,100,79,100,99,100,100,100,100,80,100,50,80,51,88,NA,59
1974,Male,Mixed,Independent,4-year,0,61,6,50,0,0,31,1,1,1,6,41,100,10,1,6
1966,Male,White,Independent,Some college,80,80,80,80,80,80,80,20,80,80,55,95,5,50,10,10
1952,Female,White,Republican,2-year,80,85,80,80,10,80,100,1,80,25,1,100,70,90,5,80
1949,Male,Black,Republican,2-year,50,90,50,60,20,100,100,4,90,51,6,96,90,100,5,60
1973,Male,White,Independent,Some college,80,80,80,80,80,80,0,70,80,80,75,30,0,0,60,0
1946,Female,White,Republican,High school graduate,50,NA,50,51,25,100,96,33,51,29,NA,92,50,98,54,66
1937,Male,White,Republican,Post-grad,76,98,75,99,49,89,98,27,49,9,NA,95,18,NA,8,78
1969,Male,White,Independent,Some college,6,100,100,100,0,100,100,0,11,100,0,80,NA,11,0,11
1971,Female,White,Independent,Post-grad,28,50,36,60,31,96,51,6,36,67,4,100,53,59,13,96
1962,Male,White,Republican,High school graduate,60,70,75,75,10,90,90,75,50,70,15,90,60,70,20,75
1961,Male,White,Independent,4-year,50,80,80,81,50,99,80,NA,49,NA,9,50,50,69,NA,79
1968,Male,White,Independent,Some college,80,80,71,80,70,80,75,30,80,80,10,90,50,80,20,60
1959,Male,Black,Democrat,2-year,100,50,85,82,79,84,2,97,78,90,89,38,0,0,81,1
1961,Female,White,Republican,Some college,72,71,69,69,71,53,52,50,50,50,31,80,21,60,27,88
1960,Male,White,Republican,Post-grad,87,88,87,88,10,92,98,1,79,3,9,80,5,99,4,95
1965,Male,White,Independent,Post-grad,50,50,50,50,51,50,1,60,99,50,100,41,2,1,50,1
1955,Male,White,Independent,4-year,50,50,50,50,50,50,50,50,50,50,30,70,50,50,30,50
1965,Male,White,Democrat,Post-grad,89,89,89,89,80,89,69,77,79,76,74,89,5,40,74,39
1939,Female,White,Republican,High school graduate,76,73,81,76,51,80,50,41,75,51,13,91,38,76,40,27
1957,Female,White,Republican,4-year,50,46,44,44,28,45,49,53,49,46,38,53,22,35,29,53
1955,Male,White,Republican,4-year,72,95,16,81,17,61,59,3,9,50,15,86,50,50,2,71
1962,Male,White,Independent,4-year,41,50,50,50,2,100,50,0,28,31,6,46,34,50,1,30
1956,Male,White,Independent,4-year,91,78,91,100,91,100,50,100,91,99,99,80,NA,NA,80,NA
1953,Male,White,Republican,High school graduate,70,80,50,80,0,80,100,0,50,80,0,95,NA,100,0,50
1973,Male,White,Republican,Post-grad,66,70,56,71,3,70,88,5,50,11,41,61,73,81,19,82
1931,Female,White,Independent,High school graduate,100,100,93,100,96,78,100,51,86,52,100,100,NA,51,77,10
1950,Male,White,Republican,Post-grad,52,96,64,77,50,89,98,43,55,66,41,94,85,96,9,98
1957,Female,Hispanic,Republican,2-year,80,85,75,84,NA,88,87,30,96,90,31,91,5,91,31,96
1957,Male,White,Independent,4-year,75,91,57,78,52,85,99,36,49,50,44,96,72,72,13,94
1970,Male,Mixed,Republican,2-year,37,98,61,72,6,88,54,2,31,4,3,82,65,46,5,58
1937,Female,White,Democrat,High school graduate,53,63,66,50,57,81,76,76,61,50,NA,90,0,51,91,0
1952,Male,White,Republican,Post-grad,85,80,91,91,51,86,91,47,79,79,9,88,59,88,24,91
1966,Male,White,Other,Some college,50,50,50,50,40,50,100,NA,50,20,31,90,50,85,NA,40
1969,Male,Hispanic,Independent,4-year,51,53,50,50,51,51,50,60,80,50,70,63,1,8,84,1
1961,Male,White,Republican,Post-grad,51,50,50,50,26,52,78,52,51,50,10,89,66,50,3,66
1939,Male,White,Independent,High school graduate,95,96,95,96,40,95,91,48,84,94,41,84,16,34,11,35
1974,Female,White,Independent,4-year,76,74,77,74,60,79,79,53,47,75,40,90,75,58,11,66
1958,Male,White,Republican,Post-grad,88,91,91,96,46,80,61,46,61,91,48,81,31,46,11,71
1962,Male,White,Other,Some college,47,63,66,55,8,54,55,7,61,53,3,87,NA,50,2,53
1978,Male,White,Independent,Post-grad,92,94,90,94,51,97,95,10,85,53,23,98,97,90,24,50
1962,Female,White,Independent,4-year,75,100,100,100,77,98,100,26,77,97,10,100,2,81,28,51
1963,Male,White,Republican,High school graduate,0,99,3,98,1,100,100,1,49,3,0,99,NA,98,1,79
1960,Male,Black,Independent,4-year,90,90,100,100,50,90,25,90,90,50,100,100,NA,NA,75,NA
1947,Male,White,Republican,Some college,71,76,79,91,7,91,98,4,77,2,4,97,51,98,5,80
1955,Male,Hispanic,Republican,Post-grad,71,97,100,94,56,97,99,49,50,72,50,98,NA,92,7,95
1974,Female,White,Democrat,Post-grad,100,100,100,100,50,100,25,100,73,100,100,80,0,0,62,5
1965,Male,White,Democrat,Post-grad,90,90,90,89,47,90,90,41,70,79,60,80,46,90,46,46
1949,Female,Hispanic,Republican,4-year,71,72,77,74,47,76,94,25,70,49,35,100,51,69,24,92
1955,Male,White,Other,High school graduate,94,90,79,83,32,77,88,35,39,48,65,85,78,78,45,94
1947,Male,White,Independent,4-year,76,NA,78,53,31,81,89,52,40,53,33,61,89,86,28,67
1969,Male,White,Independent,Post-grad,26,51,50,51,0,50,52,2,50,50,1,85,0,51,0,50
1957,Male,White,Republican,4-year,50,50,50,50,50,50,50,NA,50,50,NA,85,NA,50,NA,70
1953,Male,White,Independent,High school graduate,29,100,20,10,2,20,96,0,11,0,3,89,50,96,0,41
1967,Male,White,Republican,4-year,77,80,80,51,1,51,66,3,60,50,4,95,3,69,2,60
1950,Male,White,Democrat,4-year,88,79,88,96,100,71,28,81,79,93,97,43,NA,7,100,0
1963,Male,White,Independent,2-year,53,81,79,100,79,78,79,79,80,100,100,75,0,0,81,1
1971,Male,Asian,Democrat,Post-grad,60,36,65,99,66,98,27,99,89,98,90,31,1,2,78,6
1976,Male,White,Democrat,4-year,99,66,81,76,67,80,34,56,80,100,79,98,NA,24,84,1
1963,Male,White,Republican,4-year,75,75,75,75,75,75,75,30,75,50,50,100,1,75,25,60
1964,Male,White,Independent,2-year,100,100,100,100,70,100,100,50,50,100,50,97,NA,80,10,90
1955,Female,White,Democrat,Some college,100,51,100,100,100,100,50,100,100,100,99,40,0,21,80,10
1932,Female,White,Republican,2-year,98,90,95,82,75,98,100,53,45,93,75,96,71,95,40,80
1971,Male,White,Democrat,4-year,70,70,70,70,50,50,50,50,70,70,40,70,0,30,70,0
1953,Male,White,Republican,2-year,90,91,91,91,0,91,100,0,90,0,1,91,6,91,1,31
1955,Female,White,Independent,Post-grad,66,89,82,60,58,89,89,54,59,53,46,56,18,87,58,59
1954,Female,White,Republican,Post-grad,78,99,27,25,NA,95,99,NA,NA,NA,27,97,NA,94,NA,66
1956,Male,White,Republican,4-year,55,80,69,59,10,60,60,79,59,50,9,81,50,53,13,50
1971,Male,White,Republican,4-year,66,NA,52,91,52,100,NA,3,69,5,11,100,53,53,12,59
1967,Male,White,Republican,No HS,76,79,75,100,NA,80,50,51,50,100,50,94,NA,50,NA,29
1969,Male,White,Democrat,Post-grad,50,50,50,50,50,50,50,70,60,50,80,35,0,0,75,1
1986,Male,White,Republican,4-year,50,50,50,50,22,50,91,2,50,45,1,75,0,70,0,27
1964,Male,White,Independent,Post-grad,NA,NA,53,88,47,NA,65,26,50,NA,NA,91,NA,63,NA,57
1974,Male,White,Republican,Post-grad,50,50,50,50,5,50,100,0,50,1,0,99,50,98,1,29
1946,Male,White,Independent,Post-grad,95,90,95,95,95,95,60,90,90,95,90,75,1,5,91,25
1958,Female,White,Independent,Post-grad,91,98,75,75,65,88,100,50,76,2,8,91,1,94,35,66
1961,Male,White,Independent,Some college,99,78,97,100,50,98,2,97,NA,96,38,93,2,4,77,0
1960,Female,Hispanic,Republican,4-year,77,78,84,81,54,75,93,58,70,20,58,100,NA,83,5,81
1944,Female,White,Independent,2-year,72,69,62,79,49,94,99,22,50,50,31,100,60,95,28,78
1966,Male,White,Republican,4-year,87,87,85,81,1,88,95,2,76,79,52,95,51,93,5,75
1966,Female,White,Democrat,Post-grad,88,54,78,80,49,88,12,80,50,84,85,28,3,14,31,4
1955,Female,White,Democrat,4-year,90,90,100,95,70,90,75,100,80,95,81,81,NA,48,90,11
1965,Male,White,Republican,4-year,70,81,75,76,1,75,80,1,1,65,76,80,80,70,1,80
1960,Female,White,Independent,Post-grad,100,100,100,100,90,100,100,10,100,100,30,100,30,100,30,50
1955,Male,White,Republican,4-year,90,90,80,90,50,90,90,21,80,40,26,90,50,80,6,75
1945,Male,Black,Other,Post-grad,91,100,91,99,0,99,90,31,100,79,21,100,91,91,3,81
1974,Female,White,Independent,4-year,99,100,95,97,49,95,79,15,99,98,10,97,100,78,76,51
1953,Female,White,Independent,4-year,81,87,84,87,50,86,92,4,73,55,42,100,82,85,16,40
1955,Female,White,Republican,High school graduate,71,81,69,72,71,56,79,NA,52,81,11,90,59,54,NA,92
1951,Female,White,Republican,4-year,60,50,81,76,35,90,90,11,40,51,21,90,76,NA,12,95
1951,Male,White,Independent,Some college,55,56,55,53,25,51,83,10,56,54,17,69,31,86,6,29
1968,Male,Asian,Independent,4-year,100,50,100,81,100,100,51,60,100,100,99,50,NA,NA,50,9
1958,Male,White,Democrat,4-year,50,50,50,50,50,50,50,40,50,50,45,80,10,30,30,20
1967,Female,White,Democrat,Post-grad,51,13,51,51,51,52,2,100,52,80,89,11,1,1,81,1
1952,Female,Hispanic,Republican,High school graduate,100,100,100,100,25,100,100,10,90,100,50,100,100,100,10,75
1954,Male,White,Independent,High school graduate,50,50,61,77,1,56,89,27,79,7,25,80,NA,79,5,51
1957,Male,White,Republican,2-year,50,50,50,50,0,90,90,0,90,50,10,90,20,90,20,35
1956,Male,White,Independent,2-year,65,72,56,73,54,61,59,47,73,40,56,91,42,36,45,59
1972,Male,White,Democrat,Post-grad,85,90,86,90,86,94,92,60,61,91,86,70,0,24,91,26
